"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G19025",58.7421823523639,-1.55026447160102,0.373492175073312,-4.15072811444236,3.31419271164601e-05,0.0111952712092805
"AT1G69480",79.4389384705962,-4.75029627264418,1.25909178253414,-3.77279586646446,0.000161428361472141,0.0294308626226282
"AT1G10370",785.479442999873,-1.8917199896436,0.534904848332457,-3.53655420312781,0.000405383305916203,0.047217146556793
"AT1G70640",9.59793217403977,-7.31337227416099,1.68087350520552,-4.35093554126,1.35557901962343e-05,0.00699942424738729
"AT1G30700",287.121662016287,-2.84862734368322,0.805834997873627,-3.5350007770821,0.000407773959266247,0.047217146556793
"AT1G05100",26.0455448225538,-3.02194798694116,0.726943371607436,-4.15706106551181,3.22367844557753e-05,0.0111952712092805
"AT1G61120",355.805824374972,-3.01792000847309,0.760062554702699,-3.97062056247931,7.16856692069848e-05,0.0168686382295552
"AT1G19850",117.399721960207,-2.95808183856101,0.638282909652474,-4.63443685210308,3.57910465451839e-06,0.00378831498317438
"AT1G21410",271.369371108731,-2.09610028140522,0.483492892775676,-4.33532801148691,1.45542932010619e-05,0.00699942424738729
"AT1G54100",5803.04780951748,-1.70917327218715,0.438765300537662,-3.89541577260719,9.80304243560584e-05,0.0206650176843078
"AT1G30220",12.775606167159,-4.98536061340237,1.40950386456178,-3.53696129449943,0.000404758979097333,0.047217146556793
"AT1G57590",16.2411141986975,-4.4781404353337,1.20388440706046,-3.71974286656643,0.000199425703137694,0.03228622363518
"AT1G29195",34.1378437767056,-3.29601203112208,0.668185765823604,-4.93277797838065,8.10682861986654e-07,0.00132506211830528
"AT1G62570",296.910394599019,-2.69885216675416,0.551301795424247,-4.89541697334269,9.8097502590089e-07,0.00141799939993974
"AT1G19510",130.43221316395,1.57059041667789,0.350115359205178,4.48592264059309,7.25990810010075e-06,0.00562743733023988
"AT1G29640",36.7588195637088,-3.13761297765145,0.867052525750014,-3.61871153646357,0.000296073434420979,0.0410386170710778
"AT1G17020",138.11545675942,-4.95332607242005,1.32366165379773,-3.74213913216299,0.00018246044206027,0.0309526134199589
"AT1G02610",797.836586734422,1.05483849674648,0.242923796924179,4.34226086576325,1.4102394557986e-05,0.00699942424738729
"AT1G04580",22.1285008442631,-21.6035947951681,3.91601399389026,-5.51673074429097,3.45363945685782e-08,0.000139782603376863
"AT1G07430",57.3644500892569,-2.08998164584314,0.5847006592481,-3.5744472197633,0.000350968599430865,0.0459136301181838
"AT1G55920",556.027142669575,-1.889195475723,0.519241368218461,-3.63837627615247,0.000274362377327863,0.0391005030280561
"AT1G66760",228.09684588689,-3.09307747542806,0.695093724867621,-4.44987109618509,8.59218445617169e-06,0.00579600122798488
"AT1G79900",25.4863493683098,-4.12221074977229,0.963120278891658,-4.2800580987829,1.8684453101304e-05,0.00787744327939771
"AT1G01480",80.6972455903376,-3.57019583938012,0.879667763046016,-4.05857300831127,4.93734978791176e-05,0.0140728376983057
"AT1G74020",544.949160806758,-2.90944200539517,0.603938625191735,-4.81744648220091,1.45407074024738e-06,0.00196173530469242
"AT1G68620",226.219015899637,-2.66624406180235,0.746997034755511,-3.5692833274432,0.000357959132708832,0.0459136301181838
"AT1G73066",10.2668485318243,-3.91966317555385,1.10220838995063,-3.55619065440921,0.000376271062915316,0.0460367093178716
"AT1G80850",25.3680600330942,-2.31528660287525,0.649859892451497,-3.56274733949372,0.000366993858876782,0.0459494809502075
"AT1G10585",258.818272569615,-4.09622582551648,1.08305680795612,-3.78209692735014,0.000155512781275073,0.0288725885748958
"AT1G32950",31.8444580868292,-2.906686086244,0.763691923950376,-3.80609771438787,0.000141176624609838,0.0264536236317528
"AT1G26390",58.2680208013751,-4.64252399240123,1.0806746330757,-4.29594981718796,1.73946932706367e-05,0.00765253060256249
"AT1G68520",10945.2686579914,1.3358756577153,0.303730886091635,4.39822131659098,1.09141654034159e-05,0.00690218641465396
"AT1G58340",60.0704637236697,-4.71525520843146,0.997474782784041,-4.72719239605312,2.2764554739986e-06,0.00287928933920686
"AT1G73390",342.136063206096,-1.33423683149893,0.292428000732191,-4.56261653520944,5.05200356436608e-06,0.00486844743486078
"AT1G45616",42.390910096226,-1.94225659388213,0.547322801327042,-3.54864915032394,0.000387212635396974,0.0466429887055272
"AT1G73260",579.638559352007,-8.11406685303762,1.85733897627127,-4.36865157986786,1.2501603224498e-05,0.00699942424738729
"AT1G50745",49.7250513924136,-2.62040823996105,0.660975289845839,-3.96445718957545,7.35631466109679e-05,0.0169170158859791
"AT1G03220",1813.15668728805,-1.52700254578254,0.433488278444406,-3.5225924706944,0.000427347930916913,0.048314190379696
"AT1G08920",593.113458913734,-1.33198634411745,0.331928454242098,-4.01287183154821,5.99844862780564e-05,0.0151031693639172
"AT1G49960",3.26680387371081,-5.6562863704239,1.59167744036073,-3.55366371790882,0.000379904652670088,0.0460367093178716
"AT1G72120",361.075433538535,-1.52336062578106,0.434014251790601,-3.50993226488801,0.000448220858150963,0.0486292108045752
"AT1G09500",207.247933929044,-7.25859521452027,1.94804682789228,-3.72608867024713,0.000194474016014855,0.0317384730813922
"AT1G10586",12.4469989996618,-6.34937729633606,1.76857242559308,-3.59011437951534,0.000330532889374901,0.0448925777334219
"AT1G54570",416.389906618401,-3.3273614529872,0.764274480983094,-4.35362102985197,1.33907111971331e-05,0.00699942424738729
"AT1G23800",287.54857201073,-3.8539414115908,0.865281344372329,-4.45397492579299,8.42949491128979e-06,0.00579600122798488
"AT1G52565",60.1041695590205,-2.42200918139054,0.66868040173057,-3.62207292919351,0.000292251697320565,0.0407882593012156
"AT1G48370",147.069105196462,-1.93153319940157,0.503845760961997,-3.83358033163497,0.000126291531956581,0.0245746320404359
"AT1G32450",268.860540060587,-1.67083323902612,0.474204661248504,-3.52344330531693,0.00042597822062934,0.048314190379696
"AT1G79520",262.06662785059,-1.89471436167669,0.436472673202564,-4.34096904114171,1.41855711447182e-05,0.00699942424738729
