"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalized_counts.A10_S1","normalized_counts.A18_S16","normalized_counts.A20_S2","normalized_counts.A28_S17","normalized_counts.A30_S3","normalized_counts.A38_S18","normalized_counts.B10_S4","normalized_counts.B18_S19","normalized_counts.B20_S5","normalized_counts.B28_S20","normalized_counts.B30_S6","normalized_counts.B38_S21","normalized_counts.D10_S7","normalized_counts.D18_S22","normalized_counts.D20_S8","normalized_counts.D28_S23","normalized_counts.D30_S9","normalized_counts.D38_S24","normalized_counts.M10_S10","normalized_counts.M18_S25","normalized_counts.M20_S11","normalized_counts.M28_S26","normalized_counts.M30_S12","normalized_counts.M38_S27","normalized_counts.N10_S13","normalized_counts.N18_S28","normalized_counts.N20_S14","normalized_counts.N28_S29","normalized_counts.N30_S15"
"AT1G49520",140.454929248921,-1.13032487893727,0.309071199355596,-3.65716663763548,0.000255018601386656,0.0421451277997642,51.3748453183237,196.588531055461,115.833350013988,117.26418996748,110.402238040302,110.024479024478,80.7996993216925,126.967858712187,50.2956119256328,121.501442286156,84.7550954924859,115.462477995601,144.369901845023,176.483604792348,117.872704133837,138.741964983145,212.276379186163,216.529545686177,175.214886902582,222.055548605174,138.486645825734,163.728006046158,140.34404961422,143.430574325768,208.123063043045,134.647812304441,170.257967435512,132.372449465376,156.988024870226
"AT1G62630",404.825636635597,-1.07226887875134,0.266594021459587,-4.02210399498358,5.76805789032668e-05,0.0175126333070164,81.6728310188735,607.947191414288,180.331465362687,497.361909172417,153.401004434946,637.255875155197,85.929838961165,736.946312804999,36.8834487454641,767.418787084819,114.352112966052,653.61215613884,159.701218855114,644.355607425298,184.994660654494,540.222337084131,161.222566470504,621.680384503423,161.632337530289,892.323484236622,192.677072453194,916.500447637689,140.34404961422,794.916436022328,148.134650754167,586.024001279557,207.832139559211,662.654896724876,171.614238367452
"AT1G42550",2782.83512027585,-1.11788825671908,0.304761483352096,-3.66807591439487,0.000244382631005358,0.0418788033324524,1067.0160181498,4219.26714340421,1858.59875249718,3460.50668186792,1982.59176943953,2167.99913030783,1567.25765985886,2383.08904044412,960.646187779587,2166.64507405765,1426.03811463548,1702.22752647316,2815.85189085336,4088.32523331913,2594.83661183516,3719.22301300229,3173.39751669441,5717.34235965145,2143.32629094787,6790.8570873569,1628.12126222949,4404.97340404644,1812.5284705496,3813.87081369843,2023.69072476561,2256.11590048748,1965.59887922102,5211.66979182543,1580.60613860023
"AT1G78210",451.261880395654,1.1723805461367,0.264464944255935,4.43302816346857,9.29187228794713e-06,0.00664590024849736,492.671593565463,417.040409811297,550.208412566445,271.729433303954,462.527270947792,572.274974791747,546.359871603825,469.692288522704,774.552423654745,427.214748683582,653.825022370606,843.348742786582,334.733754720318,256.472576748592,261.939342519637,289.548448660477,278.108927161619,281.007232623838,370.803597863604,357.691061803321,464.833437293332,449.154223482947,383.706603732494,496.822772513955,561.932270216222,382.522194046708,391.006228662245,378.886412242214,665.980254573694
"AT1G64500",620.137977795046,-1.154996360904,0.301101216433177,-3.8359073224147,0.000125101580122099,0.0264025359218664,366.21043585882,728.400279806652,519.933786994607,593.5994168009,486.931976198806,484.403075436627,402.715961698594,575.350856262216,318.538875529008,603.587810066712,368.61739944351,345.712214817238,626.028777912045,728.788411156889,761.261214197696,481.910496728896,1041.229075122,887.289960545133,771.488804346254,838.127868811876,540.700034571777,1102.81162693159,1019.7338924097,973.772634127352,359.930473733266,381.757149658614,406.270736087498,879.840831775853,389.057279026213
"AT1G78070",1532.91381622456,-1.23831662148517,0.311475849766108,-3.97564248533247,7.01895039951275e-05,0.0192809453355504,1651.89887254302,431.812958387719,1944.15747693933,298.41714550345,1322.50259884067,466.681011701141,1506.97851909506,344.500204058241,1046.14872805316,199.889469567547,1307.65004474121,399.054529212866,3972.08871536438,431.051682208648,2676.69265637255,424.268907412227,2461.33118144969,527.369737937888,3232.64675060578,614.314624571305,2732.40173372686,557.678917145726,3471.27569524532,405.234574450513,4968.01994016869,125.46727964732,2795.753244579,355.899579700322,3783.31389128248
"AT5G45760",98.4851279901486,-1.08307422043982,0.281483908185122,-3.84773050588569,0.000119217090055612,0.0264025359218664,97.4804757322039,115.907688830388,105.303045467262,72.7846696349878,149.914617970516,63.5040617188261,71.8219549526155,76.3582926520843,36.8834487454641,60.3587810066712,72.647224707845,55.3679719043233,155.868389602591,106.651962608325,108.04997878935,136.060960828882,123.603967627386,109.708303147663,88.2865709199058,142.080397194603,84.2962191982726,120.443590654645,126.90685337456,114.917267381489,86.9219851532718,74.2093056450613,112.722516371098,72.9237446156562,114.084465278363
"AT5G03230",308.912217907299,-1.39194878176095,0.379753105305696,-3.66540460713403,0.00024694784914581,0.0418988184050724,167.29757321608,252.269675689667,194.810634114435,217.545290353464,158.049519720854,320.473985883378,93.6250484203738,229.074877956253,36.8834487454641,320.60703158089,67.2659488035602,313.301694678122,180.142974868568,644.355607425298,157.163605511782,569.713382781032,185.405951441079,1277.04314278025,124.959454225097,574.473523502303,130.057023905906,382.032014107702,134.371962396593,361.168554627536,205.674556419009,580.668690562903,58.7096439432801,921.851249869655,99.4582517811372
"AT5G03720",1402.39056205353,1.01385787745003,0.277280763346403,3.65643063447368,0.000255751575575259,0.0421451277997642,5588.00240616228,304.541770652391,2398.2768605169,389.802341822935,2858.83690083309,234.078925172882,3728.32898298667,119.864761721295,3748.69960885717,134.827406923993,3702.31782214796,151.924313152107,1847.42369971595,116.174459269783,1794.28449625952,111.261672401943,1894.36515602842,214.604838613411,2594.266930108,157.606708640611,2434.95650312725,158.709523102214,2126.06304947498,124.421703029582,1377.28497602015,155.304010782963,1229.37994417228,196.577050703073,777.139477152612
"AT5G41761",306.176474236362,1.01657095085545,0.252524670617531,4.02563024186706,5.68229187903708e-05,0.0175126333070164,222.624329712736,296.587321418933,355.39777845201,459.352137251923,284.721561261832,490.310430015123,403.998496608462,268.141911406156,484.514394883596,345.691200310935,430.502072342786,265.361133639013,238.91302340725,478.029332405172,199.728748671224,338.476774475789,212.276379186163,324.313141761074,270.292732508635,303.788395651141,181.838987127702,299.854355900627,209.023052616923,506.327208162048,162.825690498382,192.791185799541,192.567632133959,285.353783278655,175.514561966713
"AT5G26160",116.527952704651,-1.02481462567664,0.255751740965841,-4.00706803326714,6.14771589320965e-05,0.0180326052962519,55.3267564966563,131.816587297304,68.4469795537204,176.30064422697,49.9715393235052,105.593963090606,41.0411171157803,182.904747515458,33.5304079504219,204.592751204431,47.0861641624922,168.804792391229,79.2118045521363,175.848771681584,93.3158907726208,178.286776258535,77.9242404607434,153.014212284898,105.943885103887,169.910578088392,96.3385362265972,169.373799358095,82.1161992423625,145.158653534512,110.182798081612,153.008877618683,109.199937734501,107.800318127492,107.258898979658
"AT5G02020",191.759533926412,-1.49563920003645,0.396941184506478,-3.767911364239,0.000164619128237372,0.0313065783876479,42.1537192355476,93.1806910205077,75.0284198954243,109.985723003982,55.7821834308895,214.880022792772,55.1490011243298,271.693459901602,33.5304079504219,507.954416783415,75.3378626599875,696.826182990995,190.363852875295,191.71959945068,129.332550369071,251.34413946222,145.100309823453,182.847171912771,111.376904852804,224.985041330836,198.698230967357,224.577111741473,132.878940592187,238.474930806698,135.892117633988,487.333275215506,163.212810162319,196.577050703073,124.810355176329
"AT5G37260",1090.48416367014,-1.24180687475638,0.292334327044882,-4.2478996131225,2.15784039617691e-05,0.00982725944637833,73.7690086622084,1849.97762172423,64.4981153486981,1762.1977237182,54.6200546094127,1513.75961073946,70.5394200427474,1075.23130699621,53.648652720675,1232.25978886347,59.194034947133,1182.30876590817,108.596828821477,2073.3649397547,117.872704133837,2085.82123201714,208.245815024401,3582.84221595394,137.183748660161,3494.88482171467,87.90891430677,3135.29721922873,88.0882864599888,3149.42435793629,79.5764652811643,1458.17460370605,75.1483442473985,2682.32556281936,67.2805820872399
"AT5G16560",420.934013838544,1.28060554711064,0.276559295939478,4.63049178209829,3.64798262173816e-06,0.00409930325416187,536.142616527122,379.540863424995,539.678108019719,341.279228732943,706.574323457934,443.790012709471,747.717852453122,165.147005038229,526.427404821624,390.372375861328,660.551617250962,284.942489556395,287.462193939204,453.270841085382,296.31888122534,416.896145988002,213.619900573417,471.553232827674,320.54816518612,622.517204203159,296.240998896786,361.958082331928,232.911401487428,343.023722935722,443.179698950484,341.974841477757,521.341638216327,512.051511105586,350.05404303361
