"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalized_counts.A10_S1","normalized_counts.A18_S16","normalized_counts.A20_S2","normalized_counts.A28_S17","normalized_counts.A30_S3","normalized_counts.A38_S18","normalized_counts.B10_S4","normalized_counts.B18_S19","normalized_counts.B20_S5","normalized_counts.B28_S20","normalized_counts.B30_S6","normalized_counts.B38_S21","normalized_counts.D10_S7","normalized_counts.D18_S22","normalized_counts.D20_S8","normalized_counts.D28_S23","normalized_counts.D30_S9","normalized_counts.D38_S24","normalized_counts.M10_S10","normalized_counts.M18_S25","normalized_counts.M20_S11","normalized_counts.M28_S26","normalized_counts.M30_S12","normalized_counts.M38_S27","normalized_counts.N10_S13","normalized_counts.N18_S28","normalized_counts.N20_S14","normalized_counts.N28_S29","normalized_counts.N30_S15"
"AT1G56250",38.370232463229,5.51334990156875,0.974355966531808,5.65845552441513,1.52741285847632e-08,1.73653112454974e-06,28.980681974439,53.4084448532178,36.8560659135418,83.298010804486,41.8366375731671,65.719319685762,23.0856283776264,33.7397107067349,28.5008467578586,16.4614857290921,63.2299918753466,34.4361776478108,30.6626340201818,5.71349799687456,139.155275713557,2.68100415426368,88.672411558777,1.92470707276601,71.987511673154,0.585898545132385,109.585084957754,3.76386220795766,49.2697195454175,6.91231683497677,4.89701324807165,9.18053265712099,35.225786365968,3.96324698998132,39.0032359926028
"AT1G56540",437.333603267418,2.34726382222702,0.45313834442607,5.18001588499422,2.21867006091035e-07,1.84770477459435e-05,541.411831431565,373.859113972525,443.589079030842,325.104857702946,461.365142126315,529.446654097655,629.724640745254,366.697382154777,709.168128151423,243.002884572313,714.36437629381,376.772296617224,489.324534572068,126.331789042004,731.793038164237,107.910417209113,593.836453166355,67.3647475468105,862.491885140618,77.9245065026072,1177.73860537015,138.63559132644,656.9295939389,160.71136641321,430.937165830305,241.754026637519,521.341638216327,88.7767325755815,494.366016206241
"AT1G80840",3954.37368518394,5.03120706240317,0.753875631606992,6.67378921862542,2.49281584480304e-11,5.93495461779754e-09,4929.35054310685,9799.88145562023,5283.58030631988,9848.57452016535,4137.17860445764,3765.20012446854,2332.93100105014,2902.50300790306,6853.61538506623,2460.60017636287,4528.34367345568,2972.99000359433,2771.13554957393,324.399719600322,4837.69223215955,158.179245101557,4756.06571087986,133.767141557238,5968.17219418563,116.886759753911,12004.9858455368,407.751739195413,7318.79288520111,859.719406350235,3827.01585336799,1015.97894738806,5737.10640613733,234.624221806894,4389.81421096745
"AT1G35210",545.253097114377,4.44340608974664,0.860342525997887,5.16469424150905,2.40832269743661e-07,1.97316706186335e-05,562.488691049339,1789.75107752804,248.778444916407,2781.99181715953,338.179487049768,866.904284394208,371.935123861759,1834.37479789775,1098.12086037632,733.711935353821,418.394201558145,592.842430877998,127.760975084091,66.0226435194394,422.377189812915,66.354852818026,360.063731784125,65.4400404740445,252.635418324654,40.7199488867007,727.355948510809,112.288555870737,297.111339076911,244.523208037303,198.329036546902,283.831467982657,356.954635175143,87.9840831775853,465.113589211789
"AT1G17147",264.258887076674,3.98404492062231,0.594942050525601,6.69652601812665,2.13432463954646e-11,5.26735704030509e-09,84.3074384710953,1112.48654279362,96.0890289888768,1552.73961887974,68.565600467135,807.092319286942,85.929838961165,380.90357613656,251.478059628164,449.163396322371,115.697431942124,505.063938834559,77.9341948012954,96.4946328361037,130.969671259819,136.060960828882,161.222566470504,93.3482930291517,116.809924601722,70.8937239610185,237.233645457996,111.661245502744,146.316136831846,230.69857436735,78.3522119691464,125.46727964732,152.645074252528,115.726812107454,72.1559865863153
"AT1G25400",3210.99551893237,2.67575081187812,0.462304346480287,5.78785562422183,7.1290643402386e-09,8.74368939717627e-07,5875.17461845445,3948.81586946664,3861.98919251184,4631.53114443972,3941.94096244953,1796.57421118493,3305.09246273018,1640.81540489595,6365.74794938759,1807.62790910888,4685.74599365601,1120.1886023082,4380.92383563348,749.103070701332,7126.38723742489,586.46965874518,5718.02702415386,709.254556314277,5873.09434857958,360.913503801549,7760.06909305241,588.41712517738,5330.08784173153,820.837624153491,2701.92705962353,1504.07726699166,2863.8564315532,1074.03993428494,1990.14011652256
"AT1G02380",279.068127255543,-1.42060143624766,0.465069093112243,-3.05460297682007,0.00225358633602404,0.0468232306797931,570.392513406004,46.5903455102539,376.458387545462,67.9323583259886,512.498810271297,36.9209661155966,700.264060788001,44.3943561930722,291.71454916867,32.1390911853704,454.717813912067,31.0600817999862,557.037851366636,119.348624823602,460.030970300113,95.8458985149265,409.77402311253,182.847171912771,450.940639160134,100.188651217638,413.051474071536,60.2217953273225,474.780933801296,52.7064158666978,564.380776840258,86.450015854556,455.586836999853,126.823903679402,317.876373339713
"AT1G66500",727.133585683411,1.92354402238998,0.468809199211909,4.10304240109526,4.07752486057576e-05,0.0017860794502916,1406.8803794864,457.949005869081,867.433837036573,334.000761769444,919.2438977882,321.950824528002,1031.15806753398,246.832620433482,1232.242492178,155.992174289968,1002.26263717305,234.301051839026,1200.95316579045,186.640934564569,1304.78534992594,64.3440997023283,1038.54203234749,73.1388687651086,1405.79386003235,61.2263979663342,1877.39722471581,89.7053826229908,2320.15588404784,137.382297095163,1121.41603380841,91.8053265712099,1002.76071855122,61.0340036457123,839.544654740776
"AT1G50740",1592.80511844208,1.78491416335703,0.430012277429281,4.15084465501237,3.31250545404504e-05,0.00148636746947915,2530.54045785897,979.533605605825,2009.97188035637,1105.51825990031,1787.35412743142,1936.13546310189,2150.81104384886,1078.78285549166,3264.18521397357,1189.1463738587,2300.49544908176,1961.51168758609,2275.42296624766,468.506835743714,2324.71166486178,396.118363792458,2267.86410168508,402.263778208097,2400.03647408421,305.253142013972,2425.32264950459,718.270371351919,2261.92803367598,762.946970660561,1693.14233052077,1035.87010147848,1974.99242225194,573.878164149295,1610.8336464945
"AT1G16420",419.038936771891,4.40591238587852,1.1396374555973,3.86606491760953,0.000110605508425618,0.00398278233809472,367.527739584931,1221.57613228105,218.503819344569,900.103747819349,221.966604902081,1085.47640379854,196.227841209825,938.496689921547,950.58706539446,573.800359699783,423.77547746243,889.938865486562,80.4894143029772,91.415967949993,237.382529158421,42.8960664682188,494.415870509545,17.3223636548941,277.084007194781,22.850043260163,1498.06423832359,101.624279614857,210.516074421329,216.873940697396,162.825690498382,208.092073561409,112.722516371098,57.070756655731,332.502586836939
