"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalized_counts.A10_S1","normalized_counts.A18_S16","normalized_counts.A20_S2","normalized_counts.A28_S17","normalized_counts.A30_S3","normalized_counts.A38_S18","normalized_counts.B10_S4","normalized_counts.B18_S19","normalized_counts.B20_S5","normalized_counts.B28_S20","normalized_counts.B30_S6","normalized_counts.B38_S21","normalized_counts.D10_S7","normalized_counts.D18_S22","normalized_counts.D20_S8","normalized_counts.D28_S23","normalized_counts.D30_S9","normalized_counts.D38_S24","normalized_counts.M10_S10","normalized_counts.M18_S25","normalized_counts.M20_S11","normalized_counts.M28_S26","normalized_counts.M30_S12","normalized_counts.M38_S27","normalized_counts.N10_S13","normalized_counts.N18_S28","normalized_counts.N20_S14","normalized_counts.N28_S29","normalized_counts.N30_S15"
"AT1G56250",38.370232463229,4.16003367635518,0.980257828850252,4.24381581449291,2.19750739878083e-05,0.00148711828405443,28.980681974439,53.4084448532178,36.8560659135418,83.298010804486,41.8366375731671,65.719319685762,23.0856283776264,33.7397107067349,28.5008467578586,16.4614857290921,63.2299918753466,34.4361776478108,30.6626340201818,5.71349799687456,139.155275713557,2.68100415426368,88.672411558777,1.92470707276601,71.987511673154,0.585898545132385,109.585084957754,3.76386220795766,49.2697195454175,6.91231683497677,4.89701324807165,9.18053265712099,35.225786365968,3.96324698998132,39.0032359926028
"AT1G53340",84.2165805778155,-1.81702674626286,0.612850696265975,-2.96487669400358,0.00302804272188467,0.0348405947666567,114.605424171645,57.9538444151938,148.740551722508,58.2277357079902,137.13120093427,17.7220637354864,201.357980849297,12.4304197340602,134.121631801688,43.1134150047651,133.186578631049,14.8548217304282,74.1013655487727,59.0394793010372,112.961341461594,37.5340581596915,81.954804622506,45.2306162100014,143.975023346308,23.4359418052954,149.324731151226,20.7012421437671,79.1301556335493,43.2019802186048,101.613024897487,53.5531071665391,167.909581677781,39.6324698998132,135.536245074295
"AT1G56540",437.333603267418,1.52469800212501,0.452884710988457,3.36663606681983,0.000760910336561405,0.0146040637441694,541.411831431565,373.859113972525,443.589079030842,325.104857702946,461.365142126315,529.446654097655,629.724640745254,366.697382154777,709.168128151423,243.002884572313,714.36437629381,376.772296617224,489.324534572068,126.331789042004,731.793038164237,107.910417209113,593.836453166355,67.3647475468105,862.491885140618,77.9245065026072,1177.73860537015,138.63559132644,656.9295939389,160.71136641321,430.937165830305,241.754026637519,521.341638216327,88.7767325755815,494.366016206241
"AT1G80840",3954.37368518394,3.60674887709458,0.753975145988806,4.78364425708553,1.72145242302127e-06,0.000288518994170673,4929.35054310685,9799.88145562023,5283.58030631988,9848.57452016535,4137.17860445764,3765.20012446854,2332.93100105014,2902.50300790306,6853.61538506623,2460.60017636287,4528.34367345568,2972.99000359433,2771.13554957393,324.399719600322,4837.69223215955,158.179245101557,4756.06571087986,133.767141557238,5968.17219418563,116.886759753911,12004.9858455368,407.751739195413,7318.79288520111,859.719406350235,3827.01585336799,1015.97894738806,5737.10640613733,234.624221806894,4389.81421096745
"AT1G30640",1486.32378206402,1.06752882150744,0.292976495796038,3.64373537408484,0.00026870969320678,0.00736554620824521,2339.53141757289,567.038595356504,1988.91127126292,583.086075631402,2306.82571063158,852.874317270281,2025.12262268178,1035.27638642244,1990.02971185754,1193.06577522277,2222.46694846963,1314.6517231429,2085.05911337236,588.49029367808,1794.28449625952,497.326270615912,2030.06081614109,515.821495501292,1992.55999291541,510.024683537741,2207.35671129191,752.145131223538,2120.09096225736,902.92138656884,2686.0117665673,1134.56082754254,2056.01173089367,641.253362978977,2170.53008298835
"AT1G22070",1618.38939997382,1.18926610263854,0.37071775321342,3.2080095769082,0.00133657047694548,0.0207440730305553,1567.59143407193,1289.75712571069,1916.51542750417,1429.81439905176,1635.11525181795,2170.95280759708,1509.54358891479,2859.88442595771,1782.14118256492,2854.89195358827,1483.88683060654,3430.78860055935,1042.52955668618,1123.654606052,1330.97928417791,1179.64182787602,1402.63632829338,867.08053628109,1056.72234116441,950.620389477294,1699.17093269661,1730.12199492454,1213.82672698256,1690.92550575619,1246.28987163423,2421.36548831566,1475.96044873406,1141.41513311462,1429.46859912889
"AT1G35210",545.253097114377,2.94476050820844,0.860030870425841,3.42401721783586,0.000617027114599789,0.012618687624416,562.488691049339,1789.75107752804,248.778444916407,2781.99181715953,338.179487049768,866.904284394208,371.935123861759,1834.37479789775,1098.12086037632,733.711935353821,418.394201558145,592.842430877998,127.760975084091,66.0226435194394,422.377189812915,66.354852818026,360.063731784125,65.4400404740445,252.635418324654,40.7199488867007,727.355948510809,112.288555870737,297.111339076911,244.523208037303,198.329036546902,283.831467982657,356.954635175143,87.9840831775853,465.113589211789
"AT1G66150",4234.04654534373,-1.4838498534577,0.404015885739529,-3.67275126011838,0.000239953025867749,0.00687437754513985,4802.88938540021,3029.50880805699,4862.36812445083,3207.37777524846,3946.58947773543,1716.82492437524,6787.17474302217,1589.31795171199,5408.45480240305,1612.44172117822,5595.18162148014,1343.68614743419,5732.63495202316,3191.30604780983,5598.95344635725,3197.09745395944,4928.0364484484,5231.35382377803,6296.86988899513,4368.16660323449,5434.69767488292,2798.43155161652,6064.65456949957,1737.58364439228,6046.58710805647,2179.61146167814,6274.88674465778,4472.92055289292,5331.74236018881
"AT1G17147",264.258887076674,1.74647174235967,0.592172924785829,2.94925969975969,0.00318536181097884,0.0362522426697336,84.3074384710953,1112.48654279362,96.0890289888768,1552.73961887974,68.565600467135,807.092319286942,85.929838961165,380.90357613656,251.478059628164,449.163396322371,115.697431942124,505.063938834559,77.9341948012954,96.4946328361037,130.969671259819,136.060960828882,161.222566470504,93.3482930291517,116.809924601722,70.8937239610185,237.233645457996,111.661245502744,146.316136831846,230.69857436735,78.3522119691464,125.46727964732,152.645074252528,115.726812107454,72.1559865863153
"AT1G04490",72.8297638747629,3.27023631471792,0.888895194387209,3.67898975646097,0.000234159671849182,0.00677395772218131,113.288120445534,14.772548576422,46.0700823919272,17.791808132997,46.4851528590746,20.6757410247341,53.8664662144616,107.434341987235,139.151192994251,54.0877388241599,59.194034947133,87.7784920434393,53.6596095353182,6.3483311076384,78.5818027558912,4.02150623139552,94.0464971077938,13.4729495093621,73.3457666103833,11.7179709026477,256.501352703315,28.8562769276754,429.990279669098,17.2807920874419,64.8854255369494,37.4871750165774,63.4064154587425,4.75589638797758,113.109384378548
