"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalized_counts.A10_S1","normalized_counts.A18_S16","normalized_counts.A20_S2","normalized_counts.A28_S17","normalized_counts.A30_S3","normalized_counts.A38_S18","normalized_counts.B10_S4","normalized_counts.B18_S19","normalized_counts.B20_S5","normalized_counts.B28_S20","normalized_counts.B30_S6","normalized_counts.B38_S21","normalized_counts.D10_S7","normalized_counts.D18_S22","normalized_counts.D20_S8","normalized_counts.D28_S23","normalized_counts.D30_S9","normalized_counts.D38_S24","normalized_counts.M10_S10","normalized_counts.M18_S25","normalized_counts.M20_S11","normalized_counts.M28_S26","normalized_counts.M30_S12","normalized_counts.M38_S27","normalized_counts.N10_S13","normalized_counts.N18_S28","normalized_counts.N20_S14","normalized_counts.N28_S29","normalized_counts.N30_S15"
"AT1G25400",3210.99551893237,-1.18887056288899,0.326630905547686,-3.63979814125528,0.000272851853398328,0.0404198537903462,5875.17461845445,3948.81586946664,3861.98919251184,4631.53114443972,3941.94096244953,1796.57421118493,3305.09246273018,1640.81540489595,6365.74794938759,1807.62790910888,4685.74599365601,1120.1886023082,4380.92383563348,749.103070701332,7126.38723742489,586.46965874518,5718.02702415386,709.254556314277,5873.09434857958,360.913503801549,7760.06909305241,588.41712517738,5330.08784173153,820.837624153491,2701.92705962353,1504.07726699166,2863.8564315532,1074.03993428494,1990.14011652256
"AT1G26945",140.050552556606,2.46931057715183,0.68168176854389,3.62238025292419,0.000291904600790852,0.0414576952363712,46.1056304138802,169.316133683605,97.4053170572175,118.07290851898,49.9715393235052,211.926345503524,34.6284425664396,50.6095660601024,13.4121631801688,79.955787827019,41.7048882582073,153.274751491236,75.3789752996136,97.1294659468676,42.5651431594411,359.254556671333,21.4963421960672,407.075545890012,43.4641579913382,307.303786921936,52.9861949246285,214.540145853586,53.7487849586373,48.3862178448374,574.174803336401,148.418611290123,84.5418872783233,349.558384516352,115.059546178178
"AT1G17460",103.085339499108,1.3815956302284,0.379445293291942,3.64109307626965,0.000271482959309806,0.0404198537903462,23.7114670699955,169.316133683605,40.8049301185641,140.717027960976,29.0532205369216,68.6729969750097,30.7808378368352,157.156020923476,30.1773671553797,238.299602935429,26.9063795214241,200.540093360781,25.5521950168182,140.932950589573,27.8310551427115,152.81723679303,13.435213872542,169.374222403409,16.2990592467518,189.24523007776,40.9438778963038,205.130490333692,32.846479696945,215.145861488652,61.2126656008956,273.885890937443,55.1870653066833,156.94458080326,56.5546921892741
"AT1G14780",584.028449972327,1.04566259185428,0.281529989120593,3.71421387512068,0.000203836350910569,0.0360135820718875,782.478413309853,405.676910906357,787.140264867785,412.446461264931,603.144858346493,772.386611138281,706.676735337342,313.42415472309,953.940106189502,369.207608495352,782.975644073441,294.395557930304,528.930436848136,436.765180205522,489.499146333573,303.623720470362,658.325479754557,183.809525449154,915.463827692562,229.086331146762,508.1857785953,258.451871613092,862.966602947009,332.655247683257,1292.81149749092,270.825713385069,1083.78002719295,311.511213412532,1086.24012239399
"AT1G53035",81.2307749621963,2.55917924371877,0.545707871568032,4.68965059339394,2.73671960484034e-06,0.00250970219761978,19.759555891663,111.362289268412,31.5909136401787,164.169865954472,17.431932322153,203.803732958093,26.9332331072308,158.043908047337,20.1182447702531,194.40230765785,18.8344656649969,145.172121456457,12.7760975084091,233.618584761093,0,144.774224330239,5.37408554901679,77.9506364470236,10.8660394978346,99.016854127373,12.0423170283247,95.3511759349273,14.9302180440659,132.198059468931,31.8305861124657,181.31551997814,35.225786365968,110.970915719477,45.8288022913083
"AT1G69200",132.61355911905,1.12351087016233,0.303517404475785,3.70163573355137,0.000214214009663665,0.037048997194287,65.8651863055432,162.498034340642,48.7026585286088,195.709889462967,36.0259934657828,152.85279971857,120.558281527605,193.559393001795,60.3547343107594,119.149801467715,69.9565867557027,154.625189830366,75.3789752996136,256.472576748592,96.5901325541163,266.08966231067,59.1149410391847,163.600101185111,50.2554326774848,192.760621348555,61.4158168444557,138.008280958447,52.2557631542307,228.970495158605,138.340624258024,128.527457199694,176.12893182984,195.784401305077,186.240451864679
"AT1G49230",170.063359983852,1.65483168801879,0.438578124716215,3.77317425279603,0.000161183627549568,0.0320007659726761,46.1056304138802,412.495010249321,50.0189465969496,311.356642327448,69.7277292886119,290.198793668589,165.447003372989,348.051752553686,43.5895303355484,263.383771665474,51.1221210907058,201.215312530346,51.1043900336363,394.231361784345,36.0166595964502,350.541293169976,22.8398635833214,195.357767885751,67.912746861466,342.457699629879,38.5354144906389,234.614077629361,47.7766977410109,236.746851597954,64.8854255369494,178.255342425766,142.077338342738,136.335696455357,139.436568673555
"AT1G64600",39.3250809362161,2.26734508186184,0.567337368234133,3.99646702088224,6.42948338953834e-05,0.0172708378247014,10.5384298088869,65.9082936486518,7.89772841004467,55.8015800534907,5.81064410738432,37.6593854379085,15.3904189184176,114.537438978126,8.38260198760547,38.4101333678817,5.38127590428482,76.2997661608357,7.66565850504545,60.3091455225648,6.54848356299094,83.7813798207399,10.7481710980336,50.0423838919164,21.7320789956691,54.4885646973118,14.4507804339896,53.3213812794001,14.9302180440659,101.092633711535,26.9335728643941,69.6190393165008,61.0580297010113,28.5353783278655,33.1527505937124
"AT1G64500",620.137977795046,-1.07178226432653,0.299918335024506,-3.57358033559022,0.000352133140581455,0.0445992325785456,366.21043585882,728.400279806652,519.933786994607,593.5994168009,486.931976198806,484.403075436627,402.715961698594,575.350856262216,318.538875529008,603.587810066712,368.61739944351,345.712214817238,626.028777912045,728.788411156889,761.261214197696,481.910496728896,1041.229075122,887.289960545133,771.488804346254,838.127868811876,540.700034571777,1102.81162693159,1019.7338924097,973.772634127352,359.930473733266,381.757149658614,406.270736087498,879.840831775853,389.057279026213
"AT1G64390",244.641992897859,1.5819414070235,0.441077104767327,3.58654164980518,0.000335092563697708,0.0438994053856494,113.288120445534,196.588531055461,207.973514797843,153.656524784974,87.1596616107649,383.239628279893,174.424747742066,121.640535969018,110.650346236392,107.391597375506,177.582104841399,181.633956612963,214.638438141273,194.893765004499,137.51815482281,475.878237381803,182.718908666571,214.604838613411,233.619849203443,380.541105063484,323.938328061933,200.112007389749,355.339189448769,180.584277313768,815.35270580393,138.473034244908,270.064362139088,243.343365184853,517.767957801803
