"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G30814",3.15763005500944,1.96292955026012,2.13300505294836,0.920264838354156,0.357434378821355,0.65080130186525
"AT1G78930",32.3352621939347,0.116162969574444,0.559597040560654,0.207583245004409,0.835554387943846,0.935418865136896
"AT1G71695",932.06204154017,0.0130104304331128,0.368287281517545,0.0353268523949637,0.971819111575562,0.988831048934537
"AT1G58983",5.30766796585399,-1.81220949508184,1.62642581482262,-1.11422819200609,0.265181303842621,0.564105411968258
"AT1G12980",0.171757306703888,0.242954946208385,6.55843798270072,0.0370446357576652,0.970449415958816,NA
"AT1G45223",0,NA,NA,NA,NA,NA
"AT1G56250",38.370232463229,4.25532606331585,0.730952663789917,5.8216164659041,5.82811704393093e-09,3.07144803692787e-07
"AT1G66852",0,NA,NA,NA,NA,NA
"AT1G69810",56.868637024382,1.06152464141634,0.4434634561829,2.3937139049819,0.0166787527924402,0.114663105353474
"AT1G72450",9807.08857619169,-0.293338148139031,0.189092784236903,-1.55129213059514,0.120831691849239,0.379464765355842
"AT1G76280",138.922903547445,-0.441044560217414,0.223359639767939,-1.97459380161805,0.0483142630397299,0.226537474776417
"AT1G65630",0,NA,NA,NA,NA,NA
"AT1G71390",111.526225430155,2.36776642970013,1.02473414411864,2.31061533695318,0.020854111344093,0.132628740185547
"AT1G56233",0,NA,NA,NA,NA,NA
"AT1G15210",0.246462632900999,-2.47149277361821,6.49691549735963,-0.380410176894348,0.703640961396886,NA
"AT1G15250",109.641702324112,-0.479149347461449,0.388674254939079,-1.23277871218034,0.217658335687289,0.511348007813288
"AT1G79700",1213.67144359076,-0.26266917782835,0.414165342203107,-0.634213322706121,0.525941614131061,0.776298744622775
"AT1G62895",0,NA,NA,NA,NA,NA
"AT1G73360",21.6505913016312,0.127272583487789,0.487397633479227,0.261126798214569,0.793994726424325,0.917232062943776
"AT1G16360",3.7121075015713,0.549053847952977,1.22202958707919,0.449296689505928,0.653217645584571,0.851476038241222
"AT1G10225",1.90774007351475,-0.330410849668106,1.58408725960664,-0.208581217773415,0.834775174122125,NA
"AT1G26670",5315.32668623501,0.0457004884754263,0.193185112513514,0.236563200346142,0.81299567176437,0.925342711445194
"AT1G34855",0,NA,NA,NA,NA,NA
"AT1G52200",6223.71493851983,0.990388002802838,0.483348595103419,2.04901392666908,0.040460753134969,0.203227664728808
"AT1G57800",0,NA,NA,NA,NA,NA
"AT1G69460",993.677294413022,0.0784184222239149,0.167645647854236,0.467762946593746,0.639954121006333,0.843422438736904
"AT1G04310",141.235415558612,0.487234263800025,0.368194285643462,1.32330751127364,0.185733134817403,0.472302200520073
"AT1G08080",1.77333544891424,1.94321124228112,2.91262100889953,0.667169273428855,0.504664015443799,NA
"AT1G75550",8.41302957566261,-0.515167936265867,1.0375013151249,-0.496546779031166,0.619508691702277,0.831363418169211
