"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G30814",3.15763005500944,3.57222278484284,2.10325344088023,1.69842716783947,0.0894271680945413,0.183457140050229
"AT1G78930",32.3352621939347,0.268194931519924,0.557242229497042,0.481289674980291,0.630310634259513,0.752377204607045
"AT1G71695",932.06204154017,-0.75329840636145,0.368665884552813,-2.04330923452597,0.0410218360312347,0.100143530457405
"AT1G58983",5.30766796585399,2.21636626434844,1.46494744717375,1.51293226840619,0.130296864339217,0.24307226015253
"AT1G12980",0.171757306703888,0,6.55843798274149,0,1,NA
"AT1G45223",0,NA,NA,NA,NA,NA
"AT1G56250",38.370232463229,2.99589848217108,0.737790295244205,4.06063687945293,4.89390355607103e-05,0.000443705359156291
"AT1G66852",0,NA,NA,NA,NA,NA
"AT1G69810",56.868637024382,1.45644107901955,0.440505824486346,3.30629244395994,0.000945393614770671,0.00478374708489671
"AT1G72450",9807.08857619169,-0.972127251750292,0.189364101251932,-5.13364067066209,2.84190440044785e-07,7.04561131622992e-06
"AT1G76280",138.922903547445,-0.772975086292174,0.224138015058115,-3.44865678448948,0.000563382296738184,0.00313131174100177
"AT1G65630",0,NA,NA,NA,NA,NA
"AT1G71390",111.526225430155,4.28968171247143,1.02164191486112,4.19881139376955,2.68319685268258e-05,0.000272527519456914
"AT1G56233",0,NA,NA,NA,NA,NA
"AT1G15210",0.246462632900999,-0.60739497165505,6.46098201387299,-0.0940096985800075,0.925101452506263,NA
"AT1G15250",109.641702324112,-0.180035274026424,0.38698217816781,-0.465228850793107,0.641767580082995,0.761596041500152
"AT1G79700",1213.67144359076,-1.67321506946617,0.415113794427824,-4.03073829857296,5.56019248137283e-05,0.00049115951214529
"AT1G62895",0,NA,NA,NA,NA,NA
"AT1G73360",21.6505913016312,-0.846678018984853,0.5065624179245,-1.67141893876353,0.0946389576898167,0.191641501685118
"AT1G16360",3.7121075015713,-0.990232910968094,1.26429604178072,-0.78322867290906,0.433492840093378,0.582090871640775
"AT1G10225",1.90774007351475,-2.4217692498102,1.70025212195479,-1.42435890450522,0.154342604008395,0.276411026585846
"AT1G26670",5315.32668623501,-0.251156349487314,0.193207718752709,-1.29992917005958,0.193625246343221,0.326736648348508
"AT1G34855",0,NA,NA,NA,NA,NA
"AT1G52200",6223.71493851983,1.60206899717237,0.483279050289183,3.31499781795576,0.000916438399902356,0.00466685559616124
"AT1G57800",0,NA,NA,NA,NA,NA
"AT1G69460",993.677294413022,0.486492230759554,0.167099735171926,2.9113884008195,0.00359826421603199,0.0141859128677237
"AT1G04310",141.235415558612,0.704355522151546,0.366886842952107,1.91981679278559,0.0548810449535036,0.125853566907094
"AT1G08080",1.77333544891424,2.06830695178333,2.87953650167012,0.718277733442074,0.472586056634395,0.619180644149723
"AT1G75550",8.41302957566261,-0.271800585480562,1.01437952679652,-0.26794762542076,0.788739633789901,0.870469523425425
"AT1G71890",2.61467207607641,1.0778088534471,1.81027838875579,0.595382931234065,0.551587532369644,0.688313757354039
"AT1G05430",548.002105461249,0.230759692835338,0.154024485815508,1.49820135164577,0.134080944582721,0.248298932936157
"AT1G80870",157.955065921516,-0.92245959465199,0.249151094914516,-3.7024103585356,0.000213560827569535,0.00143059525281389
"AT1G75310",2454.88635079937,-0.697795538448287,0.333764029798905,-2.09068526308456,0.0365562868971048,0.0914061530014953
"AT1G02010",197.682499932098,-0.77352841942546,0.241353280626032,-3.20496335255543,0.00135079678168496,0.00636431327510852
