"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AT1G56250",38.370232463229,4.25532606331585,0.730952663789917,5.8216164659041,5.82811704393093e-09,3.07144803692787e-07,"AtPP2-B14"
"AT1G56540",437.333603267418,2.02048110741708,0.322934225844972,6.25663353622678,3.93376290481967e-10,2.5597286143034e-08,NA
"AT1G53625",614.890464062047,2.5945847407207,0.74998924579106,3.45949592648363,0.00054118746315302,0.00861007129860666,NA
"AT1G80840",3954.37368518394,5.24605090888239,0.534103915265036,9.82215400214613,9.03911352073739e-23,4.69037282869647e-20,"ATWRKY40"
"AT1G35210",545.253097114377,4.78091205401888,0.609480636879628,7.84423944704105,4.35585274703593e-15,6.27942297716447e-13,NA
"AT1G08630",199.535190897289,2.63780275623631,0.567578573955735,4.64746711253062,3.36035647011297e-06,0.000104782024477159,"THA1"
"AT1G17147",264.258887076674,3.4120608923773,0.412760354441342,8.26644530091902,1.38012340836822e-16,2.49371048349533e-14,NA
"AT1G25400",3210.99551893237,2.34325766091473,0.327345129364696,7.15837032755756,8.16417622066307e-13,8.13883912204722e-11,NA
"AT1G16420",419.038936771891,4.39820851179682,0.807090519161311,5.44946125295491,5.05226283422748e-08,2.28730744913337e-06,"ATMC8"
"AT1G56240",27.4048401884194,6.71669593818799,0.996929393880558,6.73738379008284,1.61263823050328e-11,1.29503809010694e-09,"AtPP2-B13"
"AT1G30190",86.1079542345165,2.51613128889763,0.56786562758446,4.43085682012582,9.38593970897799e-06,0.000258426206653861,NA
"AT1G71520",70.5496828620558,3.87104703739292,0.762401901877635,5.07743622866017,3.8256184685634e-07,1.46073662166637e-05,NA
"AT1G28190",867.491132111075,2.45184116587394,0.416732908345324,5.88348344173057,4.01720302582858e-09,2.20314736134669e-07,NA
"AT1G09932",3543.53396314539,2.36109547181242,0.544313135134089,4.33775214928587,1.43947348735682e-05,0.000380792483184837,NA
"AT1G66400",154.422586173322,2.45237220063949,0.53127670159629,4.61599801623339,3.9121068223985e-06,0.000119953493583149,"CML23"
"AT1G16090",257.590777962965,2.86017641518308,0.486812592726356,5.87531312443026,4.22044830204204e-09,2.28979121416688e-07,"WAKL7"
"AT1G66160",3407.35445242754,2.98095407274593,0.412753090715873,7.22212417010812,5.11817046634731e-13,5.2845110065036e-11,"ATCMPG1"
"AT1G18300",1072.1796411116,3.17202526016277,0.415180000652689,7.64012056259007,2.17018432281591e-14,2.69435706385433e-12,"atnudt4"
"AT1G67880",563.58273685907,2.31723488213599,0.290080405311921,7.98825029096428,1.36867359185487e-15,2.11433950216543e-13,NA
"AT1G52690",49.2512156793174,-53.8906647902839,6.45375374688641,-8.35028216195624,6.81000825027567e-17,1.30013336755499e-14,"LEA7"
"AT1G32960",250.648710190689,2.62145534989672,0.727476806556962,3.60348993434399,0.000313972911658707,0.00551072837227863,"ATSBT3.3"
"AT1G72940",598.278210672522,3.85562231274147,0.380529638202106,10.1322523285129,3.97388616819154e-24,3.21678137542769e-21,"TN11"
"AT1G18740",2483.46908001343,2.25699737509638,0.209133782327314,10.7921223916085,3.75027010340772e-27,5.01911290337086e-24,"B1L"
"AT1G20823",1097.5782577186,3.13668063103088,0.452590744791794,6.93050104785914,4.19352661426166e-12,3.76591827337449e-10,"AtATL80"
"AT1G05575",338.51049871865,4.35151056761838,0.530727551832374,8.19914201287362,2.42108776257181e-16,4.22375457337636e-14,"HUP17"
"AT1G10560",236.895535765572,2.14891596774925,0.323267144190292,6.647492658531,2.98127850923977e-11,2.19389575241765e-09,"ATPUB18"
"AT1G64610",948.418578825891,2.06747173140613,0.409814013965895,5.04490247026591,4.53752759333168e-07,1.70680196851772e-05,NA
"AT1G78850",14108.5438437369,2.7133333212125,0.227850491747857,11.9083935276959,1.07019238065257e-32,3.09392617246657e-29,"GAL1"
"AT1G61360",1668.9342933419,3.05942910277397,0.388476584924555,7.87545304273135,3.39510369869488e-15,4.97874735873103e-13,NA
"AT1G65850",43.6183817094333,2.41110282257631,0.573696622158402,4.20274885619004,2.63693098470204e-05,0.000650775272407502,NA
"AT1G47130",12.2122170227449,3.89931694881685,1.00730948069681,3.8710217897676,0.000108380102554946,0.00223804911775964,NA
"AT1G74360",1495.82765972509,2.45053473916576,0.415425772369335,5.8988510154038,3.66041560178318e-09,2.01841500090698e-07,"GRACE"
"AT1G01560",1671.27939561006,4.37783041972283,0.665943101048207,6.57388058053615,4.90205527543131e-11,3.48080324943521e-09,"ATMPK11"
