"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AT1G56250",38.370232463229,2.99589848217108,0.737790295244205,4.06063687945293,4.89390355607103e-05,0.000443705359156291,"AtPP2-B14"
"AT1G71390",111.526225430155,4.28968171247143,1.02164191486112,4.19881139376955,2.68319685268258e-05,0.000272527519456914,"AtRLP11"
"AT1G53625",614.890464062047,3.89622168934423,0.749099687772813,5.20120586477387,1.9799963513407e-07,5.28832530642879e-06,NA
"AT1G80840",3954.37368518394,3.75618302967037,0.534212321757124,7.03125494618989,2.04684105064656e-12,7.19030976537298e-10,"ATWRKY40"
"AT1G14880",11336.7750942806,3.75126000834435,0.815822761918144,4.59813109347976,4.26297739219635e-06,6.27072174809521e-05,"AtPCR1"
"AT1G35210",545.253097114377,3.99782943311573,0.609622454570288,6.55787758988263,5.45789807149364e-11,8.31767613454244e-09,NA
"AT1G67590",118.760584565162,-2.33123679305072,0.544179421388867,-4.28394882537249,1.83605160408608e-05,0.000203682635444963,NA
"AT1G44130",175.45934152353,2.8745177667572,0.750352205462502,3.83089134120078,0.000127679884906668,0.000953275682484007,NA
"AT1G17147",264.258887076674,2.03343821404623,0.413586993541034,4.91659129953873,8.80641364917831e-07,1.76349496901323e-05,NA
"AT1G66465",480.190981974915,3.32787899907484,0.739380978653886,4.50089885343488,6.76667020623956e-06,9.11872605295976e-05,NA
"AT1G04490",72.8297638747629,3.42231502248779,0.647581975893562,5.28475953606572,1.25869983050474e-07,3.62330731764462e-06,NA
"AT1G66960",289.906563441108,2.11114982592861,0.688512890133266,3.06624589921618,0.00216764965265995,0.00936949044859856,"LUP5"
"AT1G52830",79.2588470195189,-3.22331399883505,0.772839983027732,-4.17073918226535,3.03613198806637e-05,0.000300510370509377,"IAA6"
"AT1G16420",419.038936771891,3.98132903891904,0.807150815934875,4.93257141084309,8.11540950144842e-07,1.65877689671617e-05,"ATMC8"
"AT1G33055",47.9751558117603,-2.3729390890493,0.588337837647722,-4.03329335154905,5.50005487274169e-05,0.000488406757893934,"HUP32"
"AT1G51920",24.0392804323997,2.93133950652768,0.902729389235581,3.24719627108839,0.00116547986692573,0.00567036049809924,NA
"AT1G72430",3806.54225750972,-2.20106298875927,0.35157472010957,-6.2605837759703,3.83538959640651e-10,3.80584452222565e-08,"SAUR78"
"AT1G56240",27.4048401884194,4.801503502273,1.00590754483017,4.77330498906203,1.81227025637715e-06,3.14845878739922e-05,"AtPP2-B13"
"AT1G71520",70.5496828620558,2.35532382930015,0.765409748627529,3.07720646820024,0.00208950516872879,0.00909621594771538,NA
"AT1G28190",867.491132111075,2.13596362815451,0.416760868898202,5.12515398530912,2.97294671544514e-07,7.29721741634617e-06,NA
"AT1G23170",132.044173014303,2.32385641075276,0.40155954386314,5.7870780218457,7.16213178376232e-09,3.83571946641493e-07,NA
"AT1G57560",450.093151306477,2.89854547530537,0.749018184877839,3.86979319571274,0.000108927712621024,0.00084208719574164,"AtMYB50"
"AT1G67920",303.887049947908,2.54662053488049,0.537681803968377,4.73629666483983,2.17658907069718e-06,3.67062531157606e-05,NA
"AT1G67810",769.026628961912,2.51155190290134,0.474975715027681,5.28774803308622,1.23831389188269e-07,3.56958188082901e-06,"SUFE2"
"AT1G09932",3543.53396314539,3.02626452115626,0.544194336531746,5.56099966134014,2.68233717973861e-08,1.09008079190711e-06,NA
"AT1G66400",154.422586173322,2.13161424405307,0.531482936497685,4.01069177893044,6.05411017138948e-05,0.000522170151528166,"CML23"
"AT1G05310",26.9193161295977,-2.61393154797658,0.648552688772606,-4.03040738744524,5.56802645622023e-05,0.000491494532928537,NA
"AT1G16090",257.590777962965,2.74678728018704,0.48676937911687,5.64289250316124,1.6721675861799e-08,7.43719858179498e-07,"WAKL7"
"AT1G58225",470.005744498873,2.50474679438317,0.54147929851943,4.62574802255952,3.73248852635711e-06,5.65080768424232e-05,NA
"AT1G01680",822.878836971271,2.48566871947436,0.773498691996157,3.21353965455279,0.00131109692264346,0.0062118564695315,"ATPUB54"
"AT1G18300",1072.1796411116,2.55034045980548,0.415370715451743,6.13991397306817,8.25661826543374e-10,6.90026895844273e-08,"atnudt4"
"AT1G32960",250.648710190689,3.90755507763988,0.726034384100166,5.38205236998911,7.36413315645188e-08,2.38110801561032e-06,"ATSBT3.3"
"AT1G78970",602.515406885043,-2.46788488985798,0.556283730640732,-4.43637797390812,9.14851557243452e-06,0.000116942317163927,"ATLUP1"
"AT1G07900",31.9542721471642,2.66996217127149,0.653552363439107,4.08530719286467,4.40185400298768e-05,0.00040856617136553,"LBD1"
"AT1G72280",478.220495618646,2.66825602241941,0.477969029416149,5.58248727052201,2.37102968985595e-08,9.96794347909827e-07,"AERO1"
"AT1G29460",117.629376960534,-4.65300508634099,0.560270501636934,-8.30492605401565,9.98816324494703e-17,2.95735244878246e-13,"SAUR65"
"AT1G45145",3149.73268854948,2.20378253136006,0.476642493452703,4.6235544703459,3.77219625965763e-06,5.69536134334766e-05,"ATH5"
"AT1G66100",3729.13770066859,-2.04083642880146,0.383786129984478,-5.31763987636551,1.05121866353683e-07,3.12590502445685e-06,NA
"AT1G05575",338.51049871865,2.14341591766054,0.531940105688147,4.02943093543905,5.59120392921185e-05,0.000492305345256943,"HUP17"
"AT1G76965",6.39302452535486,4.69266790286657,1.33120876207691,3.52511795035456,0.000423294270833483,0.0024783042534731,NA
"AT1G75240",105.279233018926,-3.19916188449683,0.539454188663336,-5.9303680492754,3.02256397027829e-09,1.94551741763937e-07,"AtHB33"
"AT1G10550",715.411785616035,-3.21388912747788,0.72940721610977,-4.4061657966847,1.05216440878628e-05,0.000129881831664708,"XET"
"AT1G05420",89.6979828544687,-2.24024465668527,0.619442532691681,-3.61654962075445,0.000298556106694301,0.00187096010075834,"ATOFP12"
"AT1G76040",1314.24408078219,3.11796945663154,0.58539711179571,5.32624673713737,1.00262913716915e-07,2.99862792164037e-06,"CPK29"
"AT1G02520",64.0259838827481,2.45608318568125,0.758013725751025,3.2401566122669,0.00119464065298952,0.00578507527426652,"ABCB11"
"AT1G26410",81.0536729752601,2.90189917560796,0.840921679687235,3.45085546692917,0.000558812742092217,0.00311342819693637,"AtBBE6"
"AT1G61360",1668.9342933419,2.19355011342555,0.388593330683034,5.6448475571362,1.65327673674173e-08,7.3689921818729e-07,NA
"AT1G67980",265.56466801629,3.32427015319643,0.640587562032232,5.18940789710364,2.10963818531676e-07,5.61288331564508e-06,"CCOAMT"
"AT1G03850",756.921248307836,3.02799766464092,0.621999979310873,4.86816360990188,1.12640059316807e-06,2.13203458392707e-05,"ATGRXS13"
"AT1G67520",251.414269138077,2.66674949163853,0.557033063744497,4.78741687919216,1.68941671799751e-06,2.98581506717949e-05,NA
"AT1G33950",51.6017273549303,3.20240978606427,0.960716590357503,3.33335534975261,0.000858052757963493,0.00442472142648584,"IAN7"
"AT1G62975",5.46022239835117,-4.79008275093763,1.41338508776625,-3.3890853896782,0.00070126169292932,0.00374693215974558,NA
"AT1G11300",70.1021910203906,2.07416653793959,0.558737858714595,3.71223554228332,0.000205436667745995,0.00138557773371412,"EGM1"
"AT1G54010",48.9344396034074,2.11197458174606,0.514663787118372,4.10360051475762,4.06769604748837e-05,0.000382171660381885,"GLL23"
"AT1G02450",266.911324601418,4.62862266219681,1.103787402005,4.19340051697368,2.74803621916257e-05,0.000277562371726917,"NIMIN-1"
"AT1G12090",13698.1499380209,-2.90583788554459,0.506047688664547,-5.74222143611219,9.3442516906976e-09,4.79378615201481e-07,"ELP"
"AT1G56550",150.664701386875,3.24500818299063,0.758618519182144,4.27752302499684,1.88984415953134e-05,0.000208234503192167,"RGXT3"
"AT1G65240",223.440846241231,2.36637424342252,0.540883054825433,4.37502011259394,1.21421282426632e-05,0.000145551041039582,"A39"
"AT1G74360",1495.82765972509,2.6995570109078,0.415333817888194,6.49972839831333,8.04651509687962e-11,1.13282122423582e-08,"GRACE"
"AT1G01560",1671.27939561006,4.50609533861616,0.665901993442304,6.76690471419438,1.31566661096689e-11,3.0693418529439e-09,"ATMPK11"
"AT1G34180",122.860010889286,2.2119045281296,0.501950511419434,4.40661873592816,1.04996763332761e-05,0.000129687897308391,"anac016"
"AT1G23840",291.178444140118,2.39531975047686,0.449715239704455,5.32630326704299,1.00231730304152e-07,2.99862792164037e-06,NA
"AT1G33560",555.902827548132,2.05741729245063,0.412933774735416,4.98243887598901,6.27878274833842e-07,1.34575027137603e-05,"ADR1"
"AT1G13550",46.873548720273,3.55861088469535,0.977180131098763,3.64171432824157,0.00027082851243455,0.00173353667347699,NA
"AT1G29500",91.5293654851014,-3.34057385962327,0.571526802963188,-5.84499946862236,5.06569883455602e-09,2.91676474684097e-07,"SAUR66"
"AT1G06980",37.8182381213113,-2.60143739228916,0.799472892975511,-3.25394070911775,0.00113816031940753,0.00556203405883842,NA
"AT1G65490",968.477260289198,2.32949948191295,0.34969776308816,6.66146520738731,2.71110985703779e-11,5.10822389972411e-09,"STMP5"
"AT1G68765",79.9736834008673,3.20471113739597,0.687551502984595,4.66104884286432,3.14602047001615e-06,4.91367145904707e-05,"IDA"
"AT1G63840",271.936315766378,2.39572894682865,0.561904514181719,4.26358729350566,2.01170857281036e-05,0.000218914852620634,NA
"AT1G02930",26469.0269182889,2.62272968925564,0.49993114734403,5.24618180561332,1.55283674066805e-07,4.31422175430107e-06,"ATGST1"
"AT1G62440",1444.40664786987,-3.87720131118497,0.571845724587992,-6.78015266089197,1.20048962142617e-11,2.92721739925633e-09,"LRX2"
