"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G78930",32.3352621939347,2.29704422049835,0.623271055159374,3.68546590040345,0.000228284647260529,0.00106973266993482
"AT1G72450",9807.08857619169,-2.89545164133742,0.188753882579549,-15.339825606592,4.1430649951841e-53,4.29345825450928e-50
"AT1G69430",117.270620585685,-3.68491547966044,0.375870958435019,-9.80367170425458,1.08565927632164e-22,9.14933381958049e-21
"AT1G68470",49.4774684081564,-2.04038734202364,0.354897919985976,-5.74922316283022,8.96544186598317e-09,1.12548605762791e-07
"AT1G35210",545.253097114377,2.24236198103942,0.604828879350593,3.70743206482972,0.000209371557625145,0.000991526587356687
"AT1G17147",264.258887076674,3.80303520676546,0.419691012970166,9.06151213448977,1.28654451880048e-19,7.53246375611826e-18
"AT1G08380",34580.7066821571,-2.08768075299799,0.245895361298152,-8.4901184877036,2.06426527987545e-17,9.22068150661608e-16
"AT1G60270",36.342474103408,-2.78220320978817,0.605994033214616,-4.59113961078036,4.40832320309044e-06,3.16696383733977e-05
"AT1G56150",569.151275271186,2.0041836429521,0.224086301676544,8.94380257944112,3.76003970211451e-19,2.10623196935204e-17
"AT1G02380",279.068127255543,-3.26810055378621,0.334863820614817,-9.75949132929888,1.6799570705386e-22,1.38169802555488e-20
"AT1G52830",79.2588470195189,-3.12433686897161,0.736661533295754,-4.24121082445235,2.22317188399173e-05,0.000137053719415861
"AT1G08230",338.009582145268,2.48863372896273,0.412966015850057,6.0262434036856,1.67814397141806e-09,2.38554265786081e-08
"AT1G64820",10.7867584107482,-5.00723312411271,1.14328917723896,-4.37967333531939,1.18857347210716e-05,7.78091401860173e-05
"AT1G75280",492.453999010356,-2.24095827887689,0.287181647462657,-7.80327816445268,6.03193917703605e-15,1.99390703960525e-13
"AT1G52827",87.9538040831136,-3.38474523586384,0.479528129699206,-7.05849151745695,1.68319770293621e-12,3.98241502181002e-11
"AT1G16370",418.840203516843,-2.8862813501689,0.34303620204003,-8.41392638154291,3.96509626359063e-17,1.70853607399542e-15
"AT1G06040",2995.20166672482,-2.31931092180117,0.216342583280512,-10.7205474143476,8.15194198902337e-27,1.0494232898416e-24
"AT1G15510",100.497985206424,2.75850306513967,0.396353124899612,6.95971065155179,3.40972320725315e-12,7.70664375065745e-11
"AT1G68710",483.653866274243,2.58500026726406,0.312185459259922,8.28033526414765,1.22828977476513e-16,4.93363059530662e-15
"AT1G56240",27.4048401884194,2.24111759998413,0.607638951240404,3.68823887179916,0.000225811609756516,0.00105958148603431
"AT1G15820",24936.3086373885,-2.48481163817845,0.292957570717078,-8.48181404596008,2.2170970922093e-17,9.83973326191219e-16
"AT1G17460",103.085339499108,2.01062602223644,0.345351664379446,5.8219670834634,5.81590056594865e-09,7.50562609774918e-08
"AT1G52570",37.9459314537996,2.270914242814,0.533542361637519,4.25629604338113,2.07841461933292e-05,0.000129205823036275
"AT1G29160",107.044695431771,2.20927444050458,0.296209003227755,7.45849861560713,8.75139391842549e-14,2.45109986963901e-12
"AT1G79410",140.14071937469,2.21820364500537,0.576327677695821,3.84885843739767,0.000118669558441869,0.000603273305927443
"AT1G76210",58.7995772620031,-3.1383663449896,0.839655032262962,-3.73768538792813,0.000185722140152641,0.000892896561541091
"AT1G41830",795.459053230465,-2.08159049777167,0.307051105149051,-6.77929654987305,1.20762423410506e-11,2.48552332433579e-10
"AT1G01060",1920.27526653525,-6.00538502708623,0.401083276910185,-14.9729130402787,1.1037861344361e-50,9.9465527923142e-48
"AT1G09900",175.222442785999,2.41029947366132,0.256219279842419,9.40717449187945,5.09652866753586e-21,3.55658764859758e-19
"AT1G20440",48328.42051292,-3.54520877014687,0.278449722813718,-12.7319529512285,3.92887345149988e-37,1.42859352904889e-34
"AT1G32220",947.848398303475,-2.08796509415503,0.216352245982884,-9.65076689945812,4.87894789554849e-22,3.77317440608724e-20
"AT1G16090",257.590777962965,3.03379815698514,0.491182098469365,6.17652427977148,6.55281364243217e-10,1.00231450592656e-08
"AT1G09575",281.615169947339,-2.38159308816112,0.282604411994334,-8.42730328006652,3.53722235311842e-17,1.53694906689166e-15
"AT1G72210",295.77150397005,-3.60691250927004,0.4859481135842,-7.42242311152644,1.14996750648598e-13,3.16103800257671e-12
"AT1G02340",523.528706953363,-3.78690935786991,0.511050730315925,-7.41004587847647,1.2625573173858e-13,3.44312670528133e-12
"AT1G06180",43.2650921421743,4.70842872458414,1.06500838811448,4.42102501457295,9.82337997751231e-06,6.54946704697844e-05
"AT1G09680",70.8899217606738,2.05679613788377,0.413460378373418,4.9745906632586,6.53856570858917e-07,5.63720103478449e-06
"AT1G73750",975.560348738391,-2.77538262646507,0.262684608129875,-10.5654558377965,4.30870229310359e-26,5.22234875595702e-24
"AT1G52690",49.2512156793174,-28.4501854450417,6.55822643574725,-4.33809136109831,1.43725412246673e-05,9.22531091429092e-05
"AT1G56660",7071.84278227596,-2.69607652633776,0.415702350986702,-6.48559364636358,8.83830818678529e-11,1.60124803740657e-09
"AT1G72670",10.1038746911282,-2.67824728743044,0.847647541435264,-3.15962373098557,0.0015797300789437,0.00580934805113326
"AT1G07900",31.9542721471642,2.80295584077385,0.74500076317359,3.76235297912137,0.00016832225810686,0.000817204760253637
"AT1G31820",414.252072402782,2.91999381130201,0.523187972692828,5.58115622626589,2.38924911592332e-08,2.76800319601044e-07
"AT1G07050",302.28368546017,6.00551185340815,0.661052003934046,9.0847797414851,1.03908855378991e-19,6.17081643720623e-18
"AT1G05950",39.1489636530206,3.38702169947966,0.76265721576178,4.44107998912268,8.95085127304859e-06,6.01595010258434e-05
"AT1G72940",598.278210672522,3.45448338567118,0.381548092008593,9.05386098901888,1.38000470466808e-19,8.05689507294386e-18
"AT1G66100",3729.13770066859,-2.47204833774542,0.381617555934175,-6.47781607346132,9.30596906555206e-11,1.67717839002289e-09
