"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G72450",9807.08857619169,-3.06415295262765,0.211139671107957,-14.5124454184686,1.01052744290177e-47,7.48006849342216e-45
"AT1G69430",117.270620585685,-3.38193504644563,0.466192100687603,-7.25438084741783,4.03503298585981e-13,1.1506432595329e-11
"AT1G80840",3954.37368518394,-2.8949160150764,0.595619651161899,-4.86034335742478,1.17182333096273e-06,1.14131627619988e-05
"AT1G59970",497.199282054421,-2.4807301453323,0.303070091238634,-8.18533473624423,2.71547798830347e-16,1.1725207663662e-14
"AT1G14880",11336.7750942806,4.66879292656836,0.912415623460131,5.1169585510417,3.10501821545551e-07,3.42493919816556e-06
"AT1G49430",74.3228391124572,-2.38567101869176,0.612650319353551,-3.89401742450577,9.8597562707808e-05,0.000600430167911474
"AT1G22900",104.985562802519,2.12692939739731,0.545368783243432,3.89998375915096,9.61991409066078e-05,0.000586763800597514
"AT1G08630",199.535190897289,3.81550445772215,0.653027326288626,5.84279448060305,5.13323325163886e-09,7.91602621826392e-08
"AT1G68500",106.137936776626,-3.66693474912359,0.532207873542168,-6.8900422774994,5.57758092534519e-12,1.35047829741477e-10
"AT1G77760",3163.76256984339,-2.49591685265239,0.452719674112998,-5.51316188664117,3.52443769595086e-08,4.71578409853309e-07
"AT1G75230",921.127144719225,-2.1667988433879,0.214124943860751,-10.1193200769594,4.53555336164424e-24,4.87066730432324e-22
"AT1G37130",35690.8942735179,-2.25244369757229,0.567528908147211,-3.9688616125754,7.2216804056241e-05,0.000456748697244324
"AT1G60270",36.342474103408,-4.29732698474913,0.79456004922885,-5.40843576129941,6.35775829246807e-08,8.02013988859971e-07
"AT1G42470",2132.44300171153,-2.64929043804932,0.263876853686561,-10.0398742861934,1.01803817762043e-23,1.04454748858222e-21
"AT1G56150",569.151275271186,2.01866871168639,0.252108276174543,8.00714971486617,1.1739753868144e-15,4.73381592745433e-14
"AT1G70700",10685.7815194162,-2.49056768824747,0.28897759750406,-8.61854936077691,6.78076490087233e-18,3.58515646263979e-16
"AT1G02380",279.068127255543,-2.06358081202292,0.363340576449886,-5.67946699536196,1.35115117586815e-08,1.93264039137635e-07
"AT1G01300",2596.84188955923,-2.36507639240073,0.19603092692972,-12.0648125754598,1.62030832843258e-33,3.69038575990041e-31
"AT1G66500",727.133585683411,-3.69152242910101,0.379029788322398,-9.73939923149538,2.0476128486013e-22,1.82925965086683e-20
"AT1G02580",62.0035724951039,5.21067616351716,1.17166298432592,4.44724825587534,8.69772981624334e-06,7.01163547924774e-05
"AT1G66960",289.906563441108,3.90708096922687,0.776512205448467,5.03157702069908,4.86461601579222e-07,5.15987878931984e-06
"AT1G52830",79.2588470195189,-2.83523304661463,0.809458868902386,-3.5026276881235,0.000460692912680466,0.00226804530583544
"AT1G68700",2.31628447525146,5.15231366074976,1.64462932468307,3.13281149948036,0.00173140597700759,0.00698833890544483
"AT1G64820",10.7867584107482,-5.55621544577349,1.69932333889833,-3.26966347050561,0.00107675501598773,0.00467077716199037
"AT1G30360",19497.3656683967,-2.31381831697561,0.358594368497159,-6.45246696615076,1.10043875686613e-10,2.23604839949092e-09
"AT1G75280",492.453999010356,-2.57796543643715,0.319445771987115,-8.07011913289975,7.02296082910455e-16,2.91115772288042e-14
"AT1G18200",1338.18348660159,-2.26230142954295,0.276768636201445,-8.17398047911881,2.98378116466698e-16,1.27772414088611e-14
"AT1G52827",87.9538040831136,-3.44588985192365,0.550037404017003,-6.26482822214965,3.7323661704011e-10,6.95742724445458e-09
"AT1G01260",1515.57125767816,-2.23004160185773,0.147633755636205,-15.1052284231862,1.49587133774923e-51,1.34797518896481e-48
"AT1G16370",418.840203516843,-5.46178549966342,0.404243513183141,-13.5111271338793,1.34447123412353e-41,6.96637769961107e-39
"AT1G79110",662.249846141897,2.77684639676676,0.395027897084859,7.02949441611269,2.07283248101541e-12,5.35012777104925e-11
"AT1G14080",19.3302035807199,5.23389584853164,1.46863335933537,3.56378657427491,0.000365543206450061,0.00185829004093303
"AT1G07040",1896.42364500078,2.2099810274075,0.389861715194324,5.6686279808366,1.43945529203138e-08,2.05186728904005e-07
"AT1G68710",483.653866274243,2.80677309289762,0.342676894301423,8.19072759083881,2.59651673334945e-16,1.13295591190317e-14
"AT1G64380",698.860562883924,-3.56161175976879,0.409212779945097,-8.70356922930568,3.21606059354425e-18,1.80151545572427e-16
"AT1G56240",27.4048401884194,-4.32299161879326,1.21674127843575,-3.55292591400445,0.000380971742292497,0.00192538901018149
"AT1G52570",37.9459314537996,2.38420057698956,0.600851604706026,3.96803563195285,7.24675006518852e-05,0.000458054717447689
"AT1G29160",107.044695431771,2.20539559877882,0.307659182473927,7.16830741421385,7.59306506928097e-13,2.06798773490036e-11
"AT1G76210",58.7995772620031,-7.36332467248368,1.71174068845658,-4.30165896162867,1.69524091279405e-05,0.000126614642012863
"AT1G27200",1195.17652107376,-2.1592069424238,0.263393842665973,-8.19763636298074,2.45159635548445e-16,1.07197860894031e-14
"AT1G33440",22.9564508468138,-3.05748348115301,0.742910053054789,-4.11555001656106,3.86257222761268e-05,0.000262822298061393
"AT1G12600",13.4927088322682,-2.25774436242275,0.723915655706352,-3.11879477205087,0.00181592397737386,0.00726720223113548
"AT1G58280",100.501320236247,-3.05949460926153,0.339695642751382,-9.00657595864638,2.12590201527088e-19,1.40323073785046e-17
"AT1G01060",1920.27526653525,-6.49740648307715,0.447795934900366,-14.5097486973008,1.05104920888029e-47,7.51173996663892e-45
"AT1G26665",761.559224834338,2.00390838894961,0.290369186985186,6.90124324056413,5.15493772507223e-12,1.25106837575933e-10
"AT1G20440",48328.42051292,-3.80715106978093,0.311308178252405,-12.2295247466777,2.16199839294391e-34,5.33447365382805e-32
"AT1G32220",947.848398303475,-2.15013405001478,0.241082002387043,-8.91868338874529,4.71864252054354e-19,2.93689444086442e-17
"AT1G09575",281.615169947339,-2.4041500474269,0.311982861786734,-7.70603242004472,1.29789669898231e-14,4.54395388228167e-13
"AT1G76680",12049.3993518738,-3.41376801887992,0.465733123207271,-7.32988024422872,2.30358484207079e-13,6.82058563382273e-12
"AT1G24020",22.4388401366655,-3.31397288818716,0.840856917975775,-3.94118525677948,8.1079973855657e-05,0.000505554614359912
"AT1G72210",295.77150397005,-6.12017233841974,0.595391742237895,-10.2792361805622,8.74176251074186e-25,1.01787511122267e-22
"AT1G01570",38.0828141049142,-2.28658029106337,0.49947648355604,-4.57795385036745,4.69546246922651e-06,4.0131197994717e-05
"AT1G66160",3407.35445242754,-3.99562918154559,0.461595484363348,-8.65612710023916,4.88064386534956e-18,2.62743440917494e-16
"AT1G06180",43.2650921421743,5.38633286053352,1.11662529425997,4.82376038606867,1.40876645730979e-06,1.34809595192669e-05
"AT1G09680",70.8899217606738,2.32307724306183,0.442301141479659,5.25225242532787,1.50250350517434e-07,1.758378749195e-06
"AT1G73750",975.560348738391,-2.06430168859304,0.292975187526986,-7.04599493908642,1.84140947223829e-12,4.78858879819459e-11
"AT1G19970",28.1650869425688,-3.29475467452786,0.714532076606349,-4.61106615419731,4.0060901334162e-06,3.48141371495632e-05
