"term_id","term_name","p_value","source","GeneRatio","intersection","Treatment","Timepoint","Direction"
"GO:0006950","response to stress",3.85051087163905e-65,"GO:BP","248/485","AT1G80840,AT1G16420,AT1G16090,AT1G18300,AT1G32960,AT1G45145,AT1G76040,AT1G26410,AT1G03850,AT1G02450,AT1G74360,AT1G33560,AT1G65490,AT1G68765,AT1G02930,AT1G14870,AT1G56060,AT1G61340,AT1G29290,AT1G43910,AT1G02360,AT1G21250,AT1G08450,AT1G24140,AT1G74710,AT1G42990,AT1G14540,AT1G30100,AT1G17600,AT1G58420,AT1G58340,AT1G02920,AT1G21550,AT1G57630,AT1G62300,AT1G72930,AT1G70170,AT1G51660,AT1G78410,AT1G65690,AT1G66700,AT1G13340,AT1G72520,AT1G72950,AT1G27730,AT1G26380,AT1G66090,AT1G18570,AT1G79680,AT1G17610,AT1G51890,AT1G21120,AT1G72920,AT1G15520,AT1G73805,AT1G57650,AT1G51670,AT1G72900,AT1G19020,AT1G07135,AT1G72910,AT5G54610,AT5G08760,AT5G26920,AT5G45110,AT5G24530,AT5G36925,AT5G38900,AT5G05300,AT5G67450,AT5G64810,AT5G55460,AT5G17760,AT5G08790,AT5G52800,AT5G35735,AT5G39670,AT5G42050,AT5G02490,AT5G64510,AT5G54490,AT5G06330,AT5G10760,AT5G59820,AT5G48380,AT5G22530,AT5G42380,AT5G24110,AT5G35580,AT5G66650,AT5G41740,AT5G13320,AT5G58940,AT5G03210,AT5G22250,AT5G06320,AT5G25250,AT5G46520,AT5G27420,AT5G42020,AT5G26340,AT5G57220,AT5G24210,AT5G44568,AT5G20230,AT5G63130,AT5G44585,AT5G47230,AT5G40000,AT5G19240,AT5G41550,AT5G38710,AT5G04340,AT5G41750,AT5G26170,AT5G64905,AT5G48570,AT5G22540,AT5G52810,AT5G03350,AT5G63790,AT3G08970,AT3G61190,AT3G01080,AT3G09940,AT3G46620,AT3G57260,AT3G50480,AT3G23250,AT3G24090,AT3G55980,AT3G44260,AT3G28580,AT3G04220,AT3G52430,AT3G23240,AT3G09830,AT3G12580,AT3G54150,AT3G02840,AT3G48080,AT3G11820,AT3G56710,AT3G13437,AT3G10930,AT3G45330,AT3G05500,AT3G26830,AT3G11000,AT3G46080,AT3G22231,AT3G51440,AT3G11840,AT3G48090,AT3G25882,AT3G49110,AT3G56400,AT3G46110,AT3G28540,AT3G50930,AT3G09440,AT3G28510,AT3G28340,AT3G11340,AT3G46090,AT3G04640,AT3G44720,AT3G03450,AT3G52400,AT3G09350,AT3G22600,AT2G19190,AT2G31865,AT2G33580,AT2G24850,AT2G32200,AT2G35980,AT2G26150,AT2G18193,AT2G13790,AT2G30020,AT2G14560,AT2G26560,AT2G31880,AT2G46400,AT2G47190,AT2G18660,AT2G32210,AT2G32680,AT2G23270,AT2G13810,AT2G41100,AT2G38470,AT2G25295,AT2G14610,AT2G35000,AT2G17120,AT2G05940,AT2G47130,AT2G26190,AT2G16870,AT2G44840,AT2G22500,AT2G40140,AT2G43000,AT4G34150,AT4G23150,AT4G11890,AT4G17660,AT4G18253,AT4G23810,AT4G28490,AT4G11170,AT4G23190,AT4G11280,AT4G02380,AT4G23280,AT4G13395,AT4G36990,AT4G20830,AT4G37290,AT4G17670,AT4G08770,AT4G23220,AT4G14370,AT4G24110,AT4G02520,AT4G29520,AT4G39030,AT4G23210,AT4G26120,AT4G28460,AT4G29780,AT4G10500,AT4G02420,AT4G39830,AT4G23230,AT4G23140,AT4G37010,AT4G08780,AT4G27280,AT4G24570,AT4G11230,AT4G37900,AT4G18880,AT4G12720,AT4G34390,AT4G23170","HopB1_8h","8h","Up"
"GO:0050896","response to stimulus",3.43008589343341e-63,"GO:BP","312/485","AT1G80840,AT1G35210,AT1G16420,AT1G71520,AT1G28190,AT1G16090,AT1G18300,AT1G32960,AT1G45145,AT1G76040,AT1G26410,AT1G03850,AT1G02450,AT1G65240,AT1G74360,AT1G01560,AT1G33560,AT1G65490,AT1G68765,AT1G63840,AT1G02930,AT1G14870,AT1G56060,AT1G33760,AT1G61340,AT1G21240,AT1G28480,AT1G29290,AT1G65510,AT1G43910,AT1G02360,AT1G21250,AT1G08450,AT1G24140,AT1G74710,AT1G42990,AT1G14540,AT1G30100,AT1G74590,AT1G17600,AT1G58420,AT1G58340,AT1G02920,AT1G18890,AT1G21550,AT1G57630,AT1G62300,AT1G72930,AT1G70170,AT1G51660,AT1G78410,AT1G65690,AT1G66700,AT1G13340,AT1G72520,AT1G72950,AT1G27730,AT1G26380,AT1G66090,AT1G18570,AT1G79680,AT1G17610,AT1G51890,AT1G65790,AT1G21120,AT1G31580,AT1G72920,AT1G28370,AT1G15520,AT1G73805,AT1G57650,AT1G33960,AT1G51670,AT1G72900,AT1G19020,AT1G07135,AT1G72910,AT5G54610,AT5G08760,AT5G26920,AT5G45110,AT5G24530,AT5G36925,AT5G38900,AT5G05300,AT5G67450,AT5G62480,AT5G50790,AT5G64810,AT5G55460,AT5G17760,AT5G08790,AT5G52800,AT5G35735,AT5G39670,AT5G42050,AT5G02490,AT5G46230,AT5G48400,AT5G64510,AT5G44990,AT5G54490,AT5G06330,AT5G46080,AT5G10760,AT5G59820,AT5G44460,AT5G48380,AT5G22530,AT5G42380,AT5G24110,AT5G35580,AT5G36260,AT5G66650,AT5G41740,AT5G13320,AT5G58940,AT5G03210,AT5G22250,AT5G06320,AT5G25250,AT5G46520,AT5G27420,AT5G42020,AT5G60950,AT5G26340,AT5G57220,AT5G11210,AT5G24210,AT5G44568,AT5G20230,AT5G01550,AT5G63130,AT5G44585,AT5G47230,AT5G40000,AT5G19240,AT5G41550,AT5G38710,AT5G04340,AT5G45000,AT5G39050,AT5G41750,AT5G26170,AT5G03890,AT5G13200,AT5G64905,AT5G48570,AT5G22540,AT5G52810,AT5G03350,AT5G02780,AT5G45090,AT5G63790,AT3G28210,AT3G08970,AT3G61190,AT3G01080,AT3G09940,AT3G46620,AT3G08870,AT3G57260,AT3G50480,AT3G23250,AT3G24090,AT3G55980,AT3G44260,AT3G28580,AT3G04220,AT3G52430,AT3G23240,AT3G48100,AT3G09830,AT3G12580,AT3G57240,AT3G25780,AT3G54150,AT3G02840,AT3G48080,AT3G23230,AT3G11820,AT3G21150,AT3G56710,AT3G13437,AT3G10930,AT3G45330,AT3G05500,AT3G26830,AT3G11000,AT3G46080,AT3G13100,AT3G22231,AT3G51440,AT3G11840,AT3G48090,AT3G12830,AT3G25882,AT3G49110,AT3G56400,AT3G46110,AT3G25010,AT3G28540,AT3G50930,AT3G09440,AT3G28510,AT3G28340,AT3G11340,AT3G46090,AT3G04640,AT3G44720,AT3G03450,AT3G52400,AT3G09350,AT3G22600,AT2G19190,AT2G31865,AT2G33580,AT2G39210,AT2G24850,AT2G32200,AT2G35980,AT2G26150,AT2G18000,AT2G18193,AT2G13790,AT2G30020,AT2G14560,AT2G28160,AT2G26560,AT2G31880,AT2G46400,AT2G29100,AT2G47190,AT2G32130,AT2G18660,AT2G32210,AT2G32680,AT2G37430,AT2G23270,AT2G13810,AT2G41100,AT2G38470,AT2G37710,AT2G04450,AT2G04070,AT2G25295,AT2G14610,AT2G20142,AT2G32140,AT2G29110,AT2G35000,AT2G17120,AT2G05940,AT2G47130,AT2G33710,AT2G26190,AT2G16870,AT2G40180,AT2G44840,AT2G22500,AT2G40140,AT2G43000,AT4G34150,AT4G04490,AT4G01700,AT4G23150,AT4G11890,AT4G17660,AT4G18253,AT4G23810,AT4G28490,AT4G11170,AT4G23190,AT4G11280,AT4G21380,AT4G02380,AT4G23280,AT4G13395,AT4G36990,AT4G20830,AT4G37290,AT4G17670,AT4G08770,AT4G23220,AT4G02410,AT4G14370,AT4G24110,AT4G02520,AT4G29520,AT4G39030,AT4G23210,AT4G26120,AT4G28460,AT4G29780,AT4G10500,AT4G21903,AT4G02420,AT4G39830,AT4G23230,AT4G23140,AT4G30430,AT4G37010,AT4G08780,AT4G27280,AT4G24570,AT4G11230,AT4G37900,AT4G18880,AT4G39610,AT4G12720,AT4G34390,AT4G23170","HopB1_8h","8h","Up"
"GO:0044419","biological process involved in interspecies interaction between organisms",1.70085444976122e-46,"GO:BP","137/485","AT1G80840,AT1G28190,AT1G32960,AT1G45145,AT1G76040,AT1G03850,AT1G02450,AT1G74360,AT1G33560,AT1G65490,AT1G68765,AT1G61340,AT1G02360,AT1G21250,AT1G08450,AT1G24140,AT1G74710,AT1G17600,AT1G58340,AT1G02920,AT1G70170,AT1G51660,AT1G66700,AT1G72520,AT1G18570,AT1G79680,AT1G51890,AT1G31580,AT1G15520,AT1G73805,AT1G33960,AT1G19020,AT5G54610,AT5G26920,AT5G45110,AT5G24530,AT5G36925,AT5G38900,AT5G05300,AT5G64810,AT5G55460,AT5G08790,AT5G39670,AT5G02490,AT5G06330,AT5G10760,AT5G48380,AT5G13320,AT5G03210,AT5G22250,AT5G06320,AT5G27420,AT5G60950,AT5G57220,AT5G24210,AT5G44568,AT5G20230,AT5G44585,AT5G26170,AT5G03890,AT5G64905,AT5G22540,AT5G52810,AT5G03350,AT5G03160,AT3G09940,AT3G57260,AT3G50480,AT3G44260,AT3G04220,AT3G52430,AT3G09830,AT3G12580,AT3G57240,AT3G25780,AT3G48080,AT3G11820,AT3G56710,AT3G13437,AT3G10930,AT3G45330,AT3G26830,AT3G13100,AT3G22231,AT3G51440,AT3G48090,AT3G25882,AT3G49110,AT3G56400,AT3G50930,AT3G09440,AT3G11340,AT3G52400,AT3G22600,AT2G19190,AT2G31865,AT2G33580,AT2G39210,AT2G35980,AT2G30020,AT2G14560,AT2G26560,AT2G46400,AT2G18660,AT2G32680,AT2G23270,AT2G13810,AT2G38470,AT2G04450,AT2G25295,AT2G14610,AT2G35000,AT2G05940,AT2G47130,AT2G40140,AT4G01700,AT4G11890,AT4G23810,AT4G28490,AT4G23190,AT4G02380,AT4G23280,AT4G20830,AT4G37290,AT4G23220,AT4G02520,AT4G39030,AT4G23210,AT4G26120,AT4G28460,AT4G10500,AT4G02420,AT4G39830,AT4G23230,AT4G12720,AT4G34390,AT4G23170","HopB1_8h","8h","Up"
"GO:0051707","response to other organism",2.02080399523292e-46,"GO:BP","136/485","AT1G80840,AT1G28190,AT1G32960,AT1G45145,AT1G76040,AT1G03850,AT1G02450,AT1G74360,AT1G33560,AT1G65490,AT1G68765,AT1G61340,AT1G02360,AT1G21250,AT1G08450,AT1G24140,AT1G74710,AT1G17600,AT1G58340,AT1G02920,AT1G70170,AT1G51660,AT1G66700,AT1G72520,AT1G18570,AT1G79680,AT1G51890,AT1G31580,AT1G15520,AT1G73805,AT1G33960,AT1G19020,AT5G54610,AT5G26920,AT5G45110,AT5G24530,AT5G36925,AT5G38900,AT5G05300,AT5G64810,AT5G55460,AT5G08790,AT5G39670,AT5G02490,AT5G06330,AT5G10760,AT5G48380,AT5G13320,AT5G03210,AT5G22250,AT5G06320,AT5G27420,AT5G60950,AT5G57220,AT5G24210,AT5G44568,AT5G20230,AT5G44585,AT5G26170,AT5G03890,AT5G64905,AT5G22540,AT5G52810,AT5G03350,AT3G09940,AT3G57260,AT3G50480,AT3G44260,AT3G04220,AT3G52430,AT3G09830,AT3G12580,AT3G57240,AT3G25780,AT3G48080,AT3G11820,AT3G56710,AT3G13437,AT3G10930,AT3G45330,AT3G26830,AT3G13100,AT3G22231,AT3G51440,AT3G48090,AT3G25882,AT3G49110,AT3G56400,AT3G50930,AT3G09440,AT3G11340,AT3G52400,AT3G22600,AT2G19190,AT2G31865,AT2G33580,AT2G39210,AT2G35980,AT2G30020,AT2G14560,AT2G26560,AT2G46400,AT2G18660,AT2G32680,AT2G23270,AT2G13810,AT2G38470,AT2G04450,AT2G25295,AT2G14610,AT2G35000,AT2G05940,AT2G47130,AT2G40140,AT4G01700,AT4G11890,AT4G23810,AT4G28490,AT4G23190,AT4G02380,AT4G23280,AT4G20830,AT4G37290,AT4G23220,AT4G02520,AT4G39030,AT4G23210,AT4G26120,AT4G28460,AT4G10500,AT4G02420,AT4G39830,AT4G23230,AT4G12720,AT4G34390,AT4G23170","HopB1_8h","8h","Up"
"GO:0043207","response to external biotic stimulus",2.02080399523292e-46,"GO:BP","136/485","AT1G80840,AT1G28190,AT1G32960,AT1G45145,AT1G76040,AT1G03850,AT1G02450,AT1G74360,AT1G33560,AT1G65490,AT1G68765,AT1G61340,AT1G02360,AT1G21250,AT1G08450,AT1G24140,AT1G74710,AT1G17600,AT1G58340,AT1G02920,AT1G70170,AT1G51660,AT1G66700,AT1G72520,AT1G18570,AT1G79680,AT1G51890,AT1G31580,AT1G15520,AT1G73805,AT1G33960,AT1G19020,AT5G54610,AT5G26920,AT5G45110,AT5G24530,AT5G36925,AT5G38900,AT5G05300,AT5G64810,AT5G55460,AT5G08790,AT5G39670,AT5G02490,AT5G06330,AT5G10760,AT5G48380,AT5G13320,AT5G03210,AT5G22250,AT5G06320,AT5G27420,AT5G60950,AT5G57220,AT5G24210,AT5G44568,AT5G20230,AT5G44585,AT5G26170,AT5G03890,AT5G64905,AT5G22540,AT5G52810,AT5G03350,AT3G09940,AT3G57260,AT3G50480,AT3G44260,AT3G04220,AT3G52430,AT3G09830,AT3G12580,AT3G57240,AT3G25780,AT3G48080,AT3G11820,AT3G56710,AT3G13437,AT3G10930,AT3G45330,AT3G26830,AT3G13100,AT3G22231,AT3G51440,AT3G48090,AT3G25882,AT3G49110,AT3G56400,AT3G50930,AT3G09440,AT3G11340,AT3G52400,AT3G22600,AT2G19190,AT2G31865,AT2G33580,AT2G39210,AT2G35980,AT2G30020,AT2G14560,AT2G26560,AT2G46400,AT2G18660,AT2G32680,AT2G23270,AT2G13810,AT2G38470,AT2G04450,AT2G25295,AT2G14610,AT2G35000,AT2G05940,AT2G47130,AT2G40140,AT4G01700,AT4G11890,AT4G23810,AT4G28490,AT4G23190,AT4G02380,AT4G23280,AT4G20830,AT4G37290,AT4G23220,AT4G02520,AT4G39030,AT4G23210,AT4G26120,AT4G28460,AT4G10500,AT4G02420,AT4G39830,AT4G23230,AT4G12720,AT4G34390,AT4G23170","HopB1_8h","8h","Up"
"GO:0009607","response to biotic stimulus",1.74120595403929e-45,"GO:BP","136/485","AT1G80840,AT1G28190,AT1G32960,AT1G45145,AT1G76040,AT1G03850,AT1G02450,AT1G74360,AT1G33560,AT1G65490,AT1G68765,AT1G61340,AT1G02360,AT1G21250,AT1G08450,AT1G24140,AT1G74710,AT1G17600,AT1G58340,AT1G02920,AT1G70170,AT1G51660,AT1G66700,AT1G72520,AT1G18570,AT1G79680,AT1G51890,AT1G31580,AT1G15520,AT1G73805,AT1G33960,AT1G19020,AT5G54610,AT5G26920,AT5G45110,AT5G24530,AT5G36925,AT5G38900,AT5G05300,AT5G64810,AT5G55460,AT5G08790,AT5G39670,AT5G02490,AT5G06330,AT5G10760,AT5G48380,AT5G13320,AT5G03210,AT5G22250,AT5G06320,AT5G27420,AT5G60950,AT5G57220,AT5G24210,AT5G44568,AT5G20230,AT5G44585,AT5G26170,AT5G03890,AT5G64905,AT5G22540,AT5G52810,AT5G03350,AT3G09940,AT3G57260,AT3G50480,AT3G44260,AT3G04220,AT3G52430,AT3G09830,AT3G12580,AT3G57240,AT3G25780,AT3G48080,AT3G11820,AT3G56710,AT3G13437,AT3G10930,AT3G45330,AT3G26830,AT3G13100,AT3G22231,AT3G51440,AT3G48090,AT3G25882,AT3G49110,AT3G56400,AT3G50930,AT3G09440,AT3G11340,AT3G52400,AT3G22600,AT2G19190,AT2G31865,AT2G33580,AT2G39210,AT2G35980,AT2G30020,AT2G14560,AT2G26560,AT2G46400,AT2G18660,AT2G32680,AT2G23270,AT2G13810,AT2G38470,AT2G04450,AT2G25295,AT2G14610,AT2G35000,AT2G05940,AT2G47130,AT2G40140,AT4G01700,AT4G11890,AT4G23810,AT4G28490,AT4G23190,AT4G02380,AT4G23280,AT4G20830,AT4G37290,AT4G23220,AT4G02520,AT4G39030,AT4G23210,AT4G26120,AT4G28460,AT4G10500,AT4G02420,AT4G39830,AT4G23230,AT4G12720,AT4G34390,AT4G23170","HopB1_8h","8h","Up"
"GO:0006952","defense response",4.14622285128888e-45,"GO:BP","142/485","AT1G80840,AT1G32960,AT1G45145,AT1G76040,AT1G03850,AT1G02450,AT1G74360,AT1G33560,AT1G68765,AT1G02930,AT1G21250,AT1G08450,AT1G24140,AT1G74710,AT1G17600,AT1G58420,AT1G02920,AT1G72930,AT1G70170,AT1G51660,AT1G66700,AT1G72950,AT1G66090,AT1G18570,AT1G79680,AT1G17610,AT1G51890,AT1G15520,AT1G73805,AT1G57650,AT1G72900,AT1G72910,AT5G54610,AT5G26920,AT5G45110,AT5G24530,AT5G36925,AT5G38900,AT5G05300,AT5G64810,AT5G55460,AT5G39670,AT5G06330,AT5G10760,AT5G48380,AT5G35580,AT5G41740,AT5G13320,AT5G03210,AT5G22250,AT5G06320,AT5G46520,AT5G27420,AT5G57220,AT5G24210,AT5G44568,AT5G44585,AT5G47230,AT5G41550,AT5G41750,AT5G26170,AT5G64905,AT5G22540,AT5G52810,AT5G03350,AT3G61190,AT3G01080,AT3G57260,AT3G50480,AT3G44260,AT3G04220,AT3G52430,AT3G23240,AT3G09830,AT3G48080,AT3G11820,AT3G56710,AT3G13437,AT3G10930,AT3G45330,AT3G26830,AT3G22231,AT3G11840,AT3G48090,AT3G25882,AT3G49110,AT3G56400,AT3G50930,AT3G11340,AT3G44720,AT3G03450,AT3G52400,AT3G22600,AT2G19190,AT2G31865,AT2G33580,AT2G35980,AT2G30020,AT2G14560,AT2G26560,AT2G31880,AT2G46400,AT2G18660,AT2G32680,AT2G23270,AT2G13810,AT2G38470,AT2G25295,AT2G14610,AT2G35000,AT2G17120,AT2G05940,AT2G47130,AT2G16870,AT2G44840,AT2G40140,AT4G11890,AT4G17660,AT4G18253,AT4G23810,AT4G28490,AT4G11170,AT4G23190,AT4G11280,AT4G02380,AT4G23280,AT4G20830,AT4G37290,AT4G23220,AT4G14370,AT4G02520,AT4G39030,AT4G23210,AT4G26120,AT4G28460,AT4G10500,AT4G02420,AT4G39830,AT4G23230,AT4G12720,AT4G34390,AT4G23170","HopB1_8h","8h","Up"
"GO:0009605","response to external stimulus",1.34944910847814e-43,"GO:BP","142/485","AT1G80840,AT1G28190,AT1G32960,AT1G45145,AT1G76040,AT1G03850,AT1G02450,AT1G65240,AT1G74360,AT1G33560,AT1G65490,AT1G68765,AT1G61340,AT1G02360,AT1G21250,AT1G08450,AT1G24140,AT1G74710,AT1G17600,AT1G58340,AT1G02920,AT1G70170,AT1G51660,AT1G66700,AT1G72520,AT1G18570,AT1G79680,AT1G51890,AT1G31580,AT1G15520,AT1G73805,AT1G33960,AT1G19020,AT5G54610,AT5G26920,AT5G45110,AT5G24530,AT5G36925,AT5G38900,AT5G05300,AT5G64810,AT5G55460,AT5G08790,AT5G39670,AT5G02490,AT5G06330,AT5G10760,AT5G48380,AT5G36260,AT5G13320,AT5G03210,AT5G22250,AT5G06320,AT5G27420,AT5G60950,AT5G57220,AT5G24210,AT5G44568,AT5G20230,AT5G44585,AT5G26170,AT5G03890,AT5G64905,AT5G22540,AT5G52810,AT5G03350,AT3G09940,AT3G57260,AT3G50480,AT3G44260,AT3G04220,AT3G52430,AT3G09830,AT3G12580,AT3G57240,AT3G25780,AT3G48080,AT3G11820,AT3G56710,AT3G13437,AT3G10930,AT3G45330,AT3G26830,AT3G13100,AT3G22231,AT3G51440,AT3G48090,AT3G25882,AT3G49110,AT3G56400,AT3G50930,AT3G09440,AT3G11340,AT3G52400,AT3G22600,AT2G19190,AT2G31865,AT2G33580,AT2G39210,AT2G35980,AT2G30020,AT2G14560,AT2G26560,AT2G46400,AT2G32130,AT2G18660,AT2G32680,AT2G23270,AT2G13810,AT2G41100,AT2G38470,AT2G04450,AT2G25295,AT2G14610,AT2G35000,AT2G05940,AT2G47130,AT2G40140,AT4G01700,AT4G11890,AT4G23810,AT4G28490,AT4G23190,AT4G11280,AT4G02380,AT4G23280,AT4G20830,AT4G37290,AT4G23220,AT4G02520,AT4G39030,AT4G23210,AT4G26120,AT4G28460,AT4G10500,AT4G02420,AT4G39830,AT4G23230,AT4G39610,AT4G12720,AT4G34390,AT4G23170","HopB1_8h","8h","Up"
"GO:0042221","response to chemical",3.24285444432704e-41,"GO:BP","186/485","AT1G80840,AT1G16420,AT1G71520,AT1G18300,AT1G45145,AT1G26410,AT1G03850,AT1G65240,AT1G01560,AT1G33560,AT1G65490,AT1G68765,AT1G63840,AT1G02930,AT1G33760,AT1G61340,AT1G28480,AT1G29290,AT1G65510,AT1G02360,AT1G21250,AT1G14540,AT1G30100,AT1G74590,AT1G58340,AT1G02920,AT1G18890,AT1G21550,AT1G57630,AT1G62300,AT1G70170,AT1G65690,AT1G66700,AT1G72520,AT1G27730,AT1G26380,AT1G66090,AT1G18570,AT1G79680,AT1G65790,AT1G72920,AT1G28370,AT1G15520,AT1G72900,AT1G19020,AT1G07135,AT1G72910,AT5G54610,AT5G08760,AT5G26920,AT5G45110,AT5G24530,AT5G36925,AT5G05300,AT5G67450,AT5G62480,AT5G64810,AT5G08790,AT5G35735,AT5G42050,AT5G46230,AT5G48400,AT5G44990,AT5G54490,AT5G59820,AT5G44460,AT5G22530,AT5G42380,AT5G24110,AT5G36260,AT5G66650,AT5G13320,AT5G58940,AT5G06320,AT5G25250,AT5G27420,AT5G26340,AT5G57220,AT5G11210,AT5G44568,AT5G20230,AT5G63130,AT5G47230,AT5G19240,AT5G38710,AT5G04340,AT5G39050,AT5G26170,AT5G13200,AT5G64905,AT5G03350,AT5G02780,AT5G63790,AT3G28210,AT3G61190,AT3G09940,AT3G46620,AT3G50480,AT3G23250,AT3G24090,AT3G55980,AT3G28580,AT3G52430,AT3G23240,AT3G48100,AT3G02840,AT3G48080,AT3G23230,AT3G11820,AT3G13437,AT3G10930,AT3G05500,AT3G26830,AT3G46080,AT3G22231,AT3G51440,AT3G48090,AT3G12830,AT3G49110,AT3G56400,AT3G46110,AT3G25010,AT3G50930,AT3G46090,AT3G04640,AT3G03450,AT2G33580,AT2G24850,AT2G32200,AT2G26150,AT2G13790,AT2G30020,AT2G14560,AT2G28160,AT2G26560,AT2G46400,AT2G29100,AT2G47190,AT2G32210,AT2G32680,AT2G37430,AT2G23270,AT2G13810,AT2G41100,AT2G38470,AT2G37710,AT2G04450,AT2G04070,AT2G14610,AT2G29110,AT2G35000,AT2G33710,AT2G26190,AT2G40180,AT2G44840,AT2G22500,AT2G40140,AT4G34150,AT4G04490,AT4G23150,AT4G11890,AT4G23810,AT4G11170,AT4G11280,AT4G02380,AT4G13395,AT4G37290,AT4G17670,AT4G08770,AT4G24110,AT4G02520,AT4G39030,AT4G26120,AT4G29780,AT4G10500,AT4G21903,AT4G23140,AT4G30430,AT4G08780,AT4G27280,AT4G24570,AT4G11230,AT4G37900,AT4G18880,AT4G12720,AT4G23170","HopB1_8h","8h","Up"
"GO:0071456","cellular response to hypoxia",1.39954906352505e-40,"GO:BP","58/485","AT1G18300,AT1G26410,AT1G65490,AT1G61340,AT1G02360,AT1G14540,AT1G21550,AT1G57630,AT1G27730,AT1G26380,AT1G66090,AT1G72920,AT1G72900,AT1G19020,AT1G07135,AT1G72910,AT5G26920,AT5G24530,AT5G35735,AT5G42050,AT5G54490,AT5G59820,AT5G42380,AT5G66650,AT5G13320,AT5G06320,AT5G25250,AT5G27420,AT5G57220,AT5G20230,AT5G63130,AT5G19240,AT5G04340,AT5G64905,AT5G63790,AT3G55980,AT3G46080,AT3G56400,AT3G46090,AT3G04640,AT2G32200,AT2G26150,AT2G13790,AT2G26560,AT2G46400,AT2G32210,AT2G23270,AT2G41100,AT2G26190,AT2G22500,AT2G40140,AT4G34150,AT4G13395,AT4G24110,AT4G29780,AT4G27280,AT4G24570,AT4G12720","HopB1_8h","8h","Up"
