"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection"
"query_1",TRUE,9.06559532675404e-05,151,91,8,0.0879120879120879,0.0529801324503311,"GO:0048511","GO:BP","rhythmic process",21935,12796,"GO:0008150","IMP IGI IEA,IDA IEA,IMP,IEP IEA,IEP,IDA IMP IEP IEA,IMP IGI IEP TAS IEA,IEP","AT1G01060,AT1G68050,AT5G58140,AT5G37260,AT3G48360,AT3G46640,AT2G46830,AT2G21660"
"query_1",TRUE,9.06559532675404e-05,142,91,8,0.0879120879120879,0.0563380281690141,"GO:0007623","GO:BP","circadian rhythm",21935,3080,"GO:0048511","IMP IGI,IDA,IMP,IEP,IEP,IDA IMP IEP,IMP IGI IEP TAS,IEP","AT1G01060,AT1G68050,AT5G58140,AT5G37260,AT3G48360,AT3G46640,AT2G46830,AT2G21660"
"query_1",TRUE,0.000211888306565706,6002,91,47,0.516483516483517,0.00783072309230257,"GO:0050896","GO:BP","response to stimulus",21935,13339,"GO:0008150","IEP,IGI,IDA,HEP IEA,IMP IEA,IMP IEP IEA,IEP,IDA IEA,IEA,IMP IEP TAS IEA,IEP,IMP,IMP IGI IEA,IMP,IMP IGI TAS IEA,IMP IEA,IMP IEP IEA,IEP,IEP IEA,IMP IEP IEA,IEP,IEA,IDA,IMP IGI,IEP IEA,TAS IEA,IMP,IMP,ISS IEA,IMP,IEP,IMP,ISS IEA,IMP IGI IEP,IGI IEP,IDA,IMP,IDA IMP IEP IEA,IDA IMP IEA,IEP,IMP IGI IEP IEA,IEP,IEA,IMP,IEA,IMP IEP,IMP","AT1G72330,AT1G01060,AT1G52690,AT1G72940,AT1G36060,AT1G70790,AT1G56300,AT1G68050,AT1G67120,AT1G06160,AT5G26220,AT5G46870,AT5G58140,AT5G02020,AT5G40820,AT5G24655,AT5G56550,AT5G49730,AT5G63160,AT3G48360,AT3G62930,AT3G15354,AT3G21110,AT3G55160,AT2G44080,AT2G40670,AT2G25790,AT2G40030,AT2G26020,AT2G38170,AT2G47260,AT2G19450,AT2G26010,AT2G46830,AT2G40300,AT2G33830,AT2G27820,AT2G21660,AT4G16260,AT4G04955,AT4G26080,AT4G33010,AT4G12410,AT4G04850,AT4G34810,AT4G38620,AT4G20910"
"query_1",TRUE,0.00072269494948754,5330,91,42,0.461538461538462,0.00787992495309569,"GO:0065007","GO:BP","biological regulation",21935,15890,"GO:0008150","IMP TAS,IDA,IEA,IEP IEA,IMP ISS IEA,IMP,IDA IMP,IMP IEA,TAS IEA,IEA,IMP IGI,IEA,IMP TAS,IMP,IEA,IMP,TAS,IEA,IMP TAS,IDA IMP TAS IEA,IDA,IEA,IMP,IMP,IDA,IEA,TAS IEA,IMP,IMP,TAS,IMP,IMP,IMP IEA,IMP,IMP,IEA,IDA IMP,IMP IGI IEA,IMP,IMP IGI,IMP,IMP IEA","AT1G01060,AT1G52690,AT1G72940,AT1G36060,AT1G70790,AT1G74450,AT1G68050,AT1G67120,AT1G06160,AT5G58140,AT5G40820,AT5G48250,AT5G37260,AT5G24655,AT5G16560,AT5G56550,AT5G63160,AT3G06740,AT3G48360,AT3G46640,AT3G62930,AT3G15354,AT3G55160,AT3G56290,AT3G21460,AT2G44080,AT2G40670,AT2G25790,AT2G34780,AT2G38250,AT2G40030,AT2G38170,AT2G47260,AT2G19450,AT2G46830,AT2G45080,AT2G21660,AT4G26080,AT4G13750,AT4G04850,AT4G38620,AT4G20910"
"query_1",TRUE,0.00072269494948754,2131,91,24,0.263736263736264,0.011262318160488,"GO:0009628","GO:BP","response to abiotic stimulus",21935,3549,"GO:0050896","IEP,IGI,IDA,HEP,IMP,IDA IEA,IMP IGI IEA,IMP,IMP,IMP,IMP IEP,IEP,IEP,IEA,IGI,IMP,IMP,IMP,IMP IGI IEP,IMP,IMP IEP,IMP,IMP,IMP IEP","AT1G72330,AT1G01060,AT1G52690,AT1G72940,AT1G36060,AT1G68050,AT5G58140,AT5G02020,AT5G40820,AT5G24655,AT5G56550,AT5G49730,AT3G48360,AT3G15354,AT3G55160,AT2G25790,AT2G38170,AT2G19450,AT2G46830,AT2G27820,AT2G21660,AT4G26080,AT4G04850,AT4G38620"
"query_1",TRUE,0.00140502592220545,5102,91,40,0.43956043956044,0.00784006272050176,"GO:0050789","GO:BP","regulation of biological process",21935,13258,"GO:0008150,GO:0065007","IMP TAS,IEA,IEP IEA,IMP IEA,IMP,IDA IMP,IMP IEA,TAS IEA,IEA,IMP IGI,IEA,IMP TAS,IMP,IEA,IMP,TAS,IEA,IMP TAS,IDA IMP TAS IEA,IDA,IEA,IMP,IMP,IDA,IEA,TAS IEA,IMP,IMP,TAS,IMP,IMP,IEA,IMP,IMP,IEA,IDA IMP,IMP IGI IEA,IMP IGI,IMP,IMP IEA","AT1G01060,AT1G72940,AT1G36060,AT1G70790,AT1G74450,AT1G68050,AT1G67120,AT1G06160,AT5G58140,AT5G40820,AT5G48250,AT5G37260,AT5G24655,AT5G16560,AT5G56550,AT5G63160,AT3G06740,AT3G48360,AT3G46640,AT3G62930,AT3G15354,AT3G55160,AT3G56290,AT3G21460,AT2G44080,AT2G40670,AT2G25790,AT2G34780,AT2G38250,AT2G40030,AT2G38170,AT2G47260,AT2G19450,AT2G46830,AT2G45080,AT2G21660,AT4G26080,AT4G04850,AT4G38620,AT4G20910"
"query_1",TRUE,0.00534008287987122,3,91,2,0.021978021978022,0.666666666666667,"GO:0042754","GO:BP","negative regulation of circadian rhythm",21935,10347,"GO:0007623,GO:0042752,GO:0048519","IMP,IMP","AT1G01060,AT2G46830"
"query_1",TRUE,0.00534008287987122,410,91,9,0.0989010989010989,0.0219512195121951,"GO:0009409","GO:BP","response to cold",21935,3474,"GO:0006950,GO:0009266","IGI,IDA,IEP,IGI,IMP,IMP,IGI,IEP,IMP","AT1G01060,AT1G52690,AT3G48360,AT3G55160,AT2G38170,AT2G19450,AT2G46830,AT2G21660,AT4G26080"
"query_1",TRUE,0.0083783408652481,781,91,12,0.131868131868132,0.0153649167733675,"GO:0009314","GO:BP","response to radiation",21935,3460,"GO:0009628","IGI,IDA IEA,IMP IGI IEA,IMP,IMP,IMP IEP,IEP,IEA,IGI,IMP,IMP,IMP IEP","AT1G01060,AT1G68050,AT5G58140,AT5G40820,AT5G24655,AT5G56550,AT5G49730,AT3G15354,AT2G46830,AT2G27820,AT4G04850,AT4G38620"
"query_1",TRUE,0.00892823835269433,2940,91,26,0.285714285714286,0.00884353741496599,"GO:0042221","GO:BP","response to chemical",21935,10049,"GO:0050896","IDA,HEP,IMP IEA,IMP IEP IEA,IEP,IEA,IEP TAS IEA,IEP,IMP,IEA,IMP,IEP IEA,IMP IEP IEA,IEP,IDA,IEP IEA,TAS IEA,IEP,IMP,IGI IEP,IEP,IMP IGI IEP IEA,IEP,IEA,IMP,IEA","AT1G52690,AT1G72940,AT1G36060,AT1G70790,AT1G56300,AT1G67120,AT1G06160,AT5G26220,AT5G40820,AT5G24655,AT5G56550,AT5G63160,AT3G48360,AT3G62930,AT3G21110,AT2G44080,AT2G40670,AT2G47260,AT2G19450,AT2G40300,AT2G21660,AT4G26080,AT4G33010,AT4G12410,AT4G04850,AT4G34810"
