"","input_number","input","target_number","target","name","description","namespace"
"1",1,"AT1G25400","1.1","AT1G25400","AT1G25400","transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:839126]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"2",2,"AT1G26945","2.1","AT1G26945","KDR","basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839585]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"3",3,"AT1G17460","3.1","AT1G17460","TRFL3","TRF-like 3 [Source:NCBI gene (formerly Entrezgene);Acc:838319]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"4",4,"AT1G14780","4.1","AT1G14780","AT1G14780","MAC/Perforin domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:838043]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"5",5,"AT1G53035","5.1","AT1G53035","AT1G53035","transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:841737]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"6",6,"AT1G69200","6.1","AT1G69200","FLN2","fructokinase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:843251]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"7",7,"AT1G49230","7.1","AT1G49230","AT1G49230","RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841346]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"8",8,"AT1G64600","8.1","AT1G64600","AT1G64600","copper ion binding / methyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:842768]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"9",9,"AT1G64500","9.1","AT1G64500","AT1G64500","Glutaredoxin family protein [Source:NCBI gene (formerly Entrezgene);Acc:842758]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"10",10,"AT1G64390","10.1","AT1G64390","GH9C2","glycosyl hydrolase 9C2 [Source:NCBI gene (formerly Entrezgene);Acc:842747]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"11",11,"AT1G68050","11.1","AT1G68050","FKF1","flavin-binding, kelch repeat, f box 1 [Source:NCBI gene (formerly Entrezgene);Acc:843133]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"12",12,"AT1G80920","12.1","AT1G80920","J8","Chaperone DnaJ-domain superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844432]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"13",13,"AT1G68585","13.1","AT1G68585","AT1G68585","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"14",14,"AT5G57110","14.1","AT5G57110","ACA8","autoinhibited Ca2+ -ATPase [Source:NCBI gene (formerly Entrezgene);Acc:835815]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"15",15,"AT5G65207","15.1","AT5G65207","AT5G65207","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"16",16,"AT5G56100","16.1","AT5G56100","AT5G56100","glycine-rich protein / oleosin [Source:NCBI gene (formerly Entrezgene);Acc:835709]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"17",17,"AT5G21482","17.1","AT5G21482","CKX7","cytokinin oxidase 7 [Source:NCBI gene (formerly Entrezgene);Acc:832248]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"18",18,"AT5G48250","18.1","AT5G48250","BBX8","B-box type zinc finger protein with CCT domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:834878]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"19",19,"AT5G51720","19.1","AT5G51720","NEET","2 iron, 2 sulfur cluster binding protein [Source:NCBI gene (formerly Entrezgene);Acc:835246]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"20",20,"AT5G56550","20.1","AT5G56550","OXS3","oxidative stress 3 [Source:NCBI gene (formerly Entrezgene);Acc:835756]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"21",21,"AT5G56310","21.1","AT5G56310","AT5G56310","Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:835730]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"22",22,"AT5G25110","22.1","AT5G25110","CIPK25","CBL-interacting protein kinase 25 [Source:NCBI gene (formerly Entrezgene);Acc:832582]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"23",23,"AT5G48470","23.1","AT5G48470","AT5G48470","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"24",24,"AT5G11300","24.1","AT5G11300","CYC3B","mitotic-like cyclin 3B from Arabidopsi [Source:NCBI gene (formerly Entrezgene);Acc:831001]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"25",25,"AT5G10410","25.1","AT5G10410","AT5G10410","ENTH/ANTH/VHS superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830905]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
