"term","cluster"
"(+)-abscisic acid 8'-hydroxylase activity",1
"2-Oxocarboxylic acid metabolism",2
"3-isopropylmalate dehydratase activity",3
"3-methylthiopropyl glucosinolate S-oxygenase activity",3
"4-methylthiopropyl glucosinolate S-oxygenase activity",3
"5-methylthiopropyl glucosinolate S-oxygenase activity",3
"6-methylthiopropyl glucosinolate S-oxygenase activity",3
"7-methylthiopropyl glucosinolate S-oxygenase activity",3
"8-methylthiopropyl glucosinolate S-oxygenase activity",3
"abaxial cell fate specification",4
"ABC-type xenobiotic transporter activity",4
"abscisic acid-activated signaling pathway",5
"acetyl-CoA carboxylase complex",4
"activation of immune response",6
"activation of innate immune response",4
"acyltransferase activity",7
"acyltransferase activity, acyl groups converted into alkyl on transfer",3
"adenyl nucleotide binding",8
"adenyl ribonucleotide binding",8
"ADP binding",9
"Alanine, aspartate and glutamate metabolism",3
"aldehyde-lyase activity",6
"alpha-amino acid biosynthetic process",10
"alpha-amino acid catabolic process",6
"alpha-amino acid metabolic process",2
"alpha-Linolenic acid metabolism",11
"amide transport",6
"amine catabolic process",3
"amine metabolic process",3
"amino acid biosynthetic process",2
"amino acid catabolic process",11
"amino acid kinase activity",3
"amino acid metabolic process",2
"Amino sugar and nucleotide sugar metabolism",4
"aminoacyltransferase activity",7
"anatomical structure development",12
"anatomical structure maturation",4
"anatomical structure morphogenesis",4
"anchoring junction",13
"anion binding",14
"anthocyanin-containing compound metabolic process",6
"apoplast",15
"aromatic amino acid transport",1
"Ascorbate and aldarate metabolism",4
"asparagine biosynthetic process",3
"asparagine metabolic process",3
"asparagine synthase (glutamine-hydrolyzing) activity",3
"aspartate family amino acid biosynthetic process",10
"aspartate family amino acid metabolic process",10
"aspartate kinase activity",3
"aspartic-type endopeptidase activity",13
"aspartic-type peptidase activity",13
"ATP binding",16
"ATP hydrolysis activity",17
"ATP-dependent activity",4
"ATPase-coupled intramembrane lipid transporter activity",18
"auxin biosynthetic process",4
"auxin metabolic process",6
"auxin polar transport",4
"auxin transport",4
"auxin-activated signaling pathway",13
"basic amino acid transport",1
"benzene-containing compound metabolic process",1
"beta-1,4-mannosyltransferase activity",3
"beta-alanine metabolic process",4
"beta-glucan biosynthetic process",19
"beta-glucan metabolic process",5
"beta-glucanase activity",1
"binding",20
"biogenic amine catabolic process",3
"biogenic amine metabolic process",3
"biological process involved in interspecies interaction between organisms",21
"biological regulation",22
"Biosynthesis of amino acids",3
"Biosynthesis of nucleotide sugars",4
"Biosynthesis of secondary metabolites",23
"bounding membrane of organelle",24
"box C/D methylation guide snoRNP complex",1
"box C/D RNP complex",1
"branched-chain amino acid biosynthetic process",10
"branched-chain amino acid metabolic process",10
"calcium ion binding",25
"callose deposition in cell wall",1
"callose localization",26
"calmodulin binding",27
"cAMP binding",28
"carbohydrate binding",18
"carbohydrate biosynthetic process",29
"carbohydrate catabolic process",3
"carbohydrate derivative binding",8
"carbohydrate derivative biosynthetic process",2
"carbohydrate derivative catabolic process",3
"carbohydrate derivative metabolic process",2
"carbohydrate derivative transmembrane transporter activity",1
"carbohydrate derivative transport",4
"carbohydrate metabolic process",30
"carbohydrate transmembrane transport",1
"carbohydrate transport",28
"carbon fixation",6
"carbon-carbon lyase activity",3
"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",3
"carboxylic acid binding",6
"carboxylic acid biosynthetic process",15
