"","input_number","input","target_number","target","name","description","namespace"
"1",1,"AT1G56250","1.1","AT1G56250","PP2-B14","phloem protein 2-B14 [Source:NCBI gene (formerly Entrezgene);Acc:842078]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"2",2,"AT1G56540","2.1","AT1G56540","AT1G56540","Disease resistance protein (TIR-NBS-LRR class) family [Source:NCBI gene (formerly Entrezgene);Acc:842107]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"3",3,"AT1G80840","3.1","AT1G80840","WRKY40","WRKY DNA-binding protein 40 [Source:NCBI gene (formerly Entrezgene);Acc:844423]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"4",4,"AT1G35210","4.1","AT1G35210","AT1G35210","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"5",5,"AT1G17147","5.1","AT1G17147","AT1G17147","VQ motif-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:6240987]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"6",6,"AT1G25400","6.1","AT1G25400","AT1G25400","transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:839126]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"7",7,"AT1G02380","7.1","AT1G02380","AT1G02380","transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:837745]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"8",8,"AT1G66500","8.1","AT1G66500","AT1G66500","Pre-mRNA cleavage complex II [Source:NCBI gene (formerly Entrezgene);Acc:842968]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"9",9,"AT1G50740","9.1","AT1G50740","AT1G50740","Transmembrane proteins 14C [Source:NCBI gene (formerly Entrezgene);Acc:841496]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"10",10,"AT1G16420","10.1","AT1G16420","MC8","metacaspase 8 [Source:NCBI gene (formerly Entrezgene);Acc:838212]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"11",11,"AT1G64380","11.1","AT1G64380","AT1G64380","Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:842745]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"12",12,"AT1G56240","12.1","AT1G56240","PP2-B13","phloem protein 2-B13 [Source:NCBI gene (formerly Entrezgene);Acc:842077]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"13",13,"AT1G71520","13.1","AT1G71520","AT1G71520","Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843492]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"14",14,"AT1G18390","14.1","AT1G18390","AT1G18390","Serine/Threonine kinase family catalytic domain protein [Source:NCBI gene (formerly Entrezgene);Acc:838420]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"15",15,"AT1G73910","15.1","AT1G73910","ARP4A","actin-related proteins 4A [Source:NCBI gene (formerly Entrezgene);Acc:843728]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"16",16,"AT1G62422","16.1","AT1G62422","AT1G62422","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"17",17,"AT1G63740","17.1","AT1G63740","AT1G63740","Disease resistance protein (TIR-NBS-LRR class) family [Source:NCBI gene (formerly Entrezgene);Acc:842678]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"18",18,"AT1G27200","18.1","AT1G27200","AT1G27200","glycosyltransferase family protein (DUF23) [Source:NCBI gene (formerly Entrezgene);Acc:839609]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"19",19,"AT1G66400","19.1","AT1G66400","CML23","calmodulin like 23 [Source:NCBI gene (formerly Entrezgene);Acc:842958]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"20",20,"AT1G16090","20.1","AT1G16090","WAKL7","wall associated kinase-like 7 [Source:NCBI gene (formerly Entrezgene);Acc:838179]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"21",21,"AT1G52618","21.1","AT1G52618","AT1G52618","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"22",22,"AT1G02340","22.1","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839300]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"23",23,"AT1G66160","23.1","AT1G66160","CMPG1","CYS, MET, PRO, and GLY protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:842931]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"24",24,"AT1G18300","24.1","AT1G18300","NUDT4","nudix hydrolase homolog 4 [Source:NCBI gene (formerly Entrezgene);Acc:838410]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"25",25,"AT1G03730","25.1","AT1G03730","AT1G03730","pyrroline-5-carboxylate reductase [Source:NCBI gene (formerly Entrezgene);Acc:839106]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"26",26,"AT1G31540","26.1","AT1G31540","AT1G31540","Disease resistance protein (TIR-NBS-LRR class) family [Source:NCBI gene (formerly Entrezgene);Acc:840044]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"27",27,"AT1G67880","27.1","AT1G67880","AT1G67880","beta-1,4-N-acetylglucosaminyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843116]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"28",28,"AT1G52690","28.1","AT1G52690","LEA7","Late embryosis abundant protein (LEA) family protein [Source:NCBI gene (formerly Entrezgene);Acc:841701]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"29",29,"AT1G56660","29.1","AT1G56660","AT1G56660","MAEBL domain protein [Source:NCBI gene (formerly Entrezgene);Acc:842121]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"30",30,"AT1G28380","30.1","AT1G28380","NSL1","MAC/Perforin domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839735]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
