"","input_number","input","target_number","target","name","description","namespace"
"1",1,"AT1G56250","1.1","AT1G56250","PP2-B14","phloem protein 2-B14 [Source:NCBI gene (formerly Entrezgene);Acc:842078]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"2",2,"AT1G53340","2.1","AT1G53340","AT1G53340","Cysteine/Histidine-rich C1 domain family protein [Source:NCBI gene (formerly Entrezgene);Acc:841769]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"3",3,"AT1G56540","3.1","AT1G56540","AT1G56540","Disease resistance protein (TIR-NBS-LRR class) family [Source:NCBI gene (formerly Entrezgene);Acc:842107]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"4",4,"AT1G80840","4.1","AT1G80840","WRKY40","WRKY DNA-binding protein 40 [Source:NCBI gene (formerly Entrezgene);Acc:844423]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"5",5,"AT1G30640","5.1","AT1G30640","AT1G30640","Protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839944]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"6",6,"AT1G22070","6.1","AT1G22070","TGA3","transcription factor TGA3 [Source:NCBI gene (formerly Entrezgene);Acc:838812]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"7",7,"AT1G35210","7.1","AT1G35210","AT1G35210","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"8",8,"AT1G66150","8.1","AT1G66150","TMK1","transmembrane kinase 1 [Source:NCBI gene (formerly Entrezgene);Acc:842930]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"9",9,"AT1G17147","9.1","AT1G17147","AT1G17147","VQ motif-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:6240987]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"10",10,"AT1G04490","10.1","AT1G04490","AT1G04490","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
