"source","term_id","term_name","term_size","query_size","intersection_size","p_value","precision","recall","intersection"
"GO:BP","GO:0019761","glucosinolate biosynthetic process",50,104,13,2.86006454198977e-17,0.125,0.26,"AT1G16410,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G61420,AT5G23010,AT5G23020,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770"
"GO:BP","GO:0016144","S-glycoside biosynthetic process",50,104,13,2.86006454198977e-17,0.125,0.26,"AT1G16410,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G61420,AT5G23010,AT5G23020,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770"
"GO:BP","GO:0016143","S-glycoside metabolic process",105,104,15,2.50210463564933e-16,0.144230769230769,0.142857142857143,"AT1G16410,AT1G12610,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G15210,AT5G61420,AT5G23010,AT5G23020,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770"
"GO:BP","GO:0019760","glucosinolate metabolic process",105,104,15,2.50210463564933e-16,0.144230769230769,0.142857142857143,"AT1G16410,AT1G12610,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G15210,AT5G61420,AT5G23010,AT5G23020,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770"
"GO:BP","GO:1901659","glycosyl compound biosynthetic process",61,104,13,2.50210463564933e-16,0.125,0.213114754098361,"AT1G16410,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G61420,AT5G23010,AT5G23020,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770"
"GO:BP","GO:0006790","sulfur compound metabolic process",320,104,20,4.90622542815657e-15,0.192307692307692,0.0625,"AT1G31230,AT1G16410,AT1G12610,AT1G65860,AT1G78370,AT1G62560,AT5G26220,AT5G07690,AT5G14200,AT5G63980,AT5G15210,AT5G61420,AT5G23010,AT5G23020,AT3G19710,AT3G58990,AT3G22740,AT2G43100,AT4G12030,AT4G13770"
"GO:BP","GO:1901657","glycosyl compound metabolic process",143,104,15,2.12223815053592e-14,0.144230769230769,0.104895104895105,"AT1G16410,AT1G12610,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G15210,AT5G61420,AT5G23010,AT5G23020,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770"
"GO:BP","GO:0044272","sulfur compound biosynthetic process",175,104,15,3.9199639936756e-13,0.144230769230769,0.0857142857142857,"AT1G31230,AT1G16410,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G61420,AT5G23010,AT5G23020,AT3G19710,AT3G58990,AT3G22740,AT2G43100,AT4G12030,AT4G13770"
"GO:BP","GO:0043436","oxoacid metabolic process",1067,104,29,5.51585890125961e-13,0.278846153846154,0.0271790065604499,"AT1G08630,AT1G71170,AT1G31230,AT1G56430,AT1G16410,AT1G12610,AT1G65860,AT1G62560,AT5G07690,AT5G10240,AT5G14200,AT5G15210,AT5G16370,AT5G65010,AT5G61420,AT5G23010,AT5G23020,AT5G17330,AT3G19710,AT3G48520,AT3G58990,AT3G02020,AT3G22740,AT2G43100,AT4G12030,AT4G13770,AT4G08040,AT4G13040,AT4G34180"
"GO:BP","GO:0006082","organic acid metabolic process",1068,104,29,5.51585890125961e-13,0.278846153846154,0.0271535580524345,"AT1G08630,AT1G71170,AT1G31230,AT1G56430,AT1G16410,AT1G12610,AT1G65860,AT1G62560,AT5G07690,AT5G10240,AT5G14200,AT5G15210,AT5G16370,AT5G65010,AT5G61420,AT5G23010,AT5G23020,AT5G17330,AT3G19710,AT3G48520,AT3G58990,AT3G02020,AT3G22740,AT2G43100,AT4G12030,AT4G13770,AT4G08040,AT4G13040,AT4G34180"
"GO:BP","GO:0019752","carboxylic acid metabolic process",955,104,23,5.46751526951686e-09,0.221153846153846,0.0240837696335079,"AT1G08630,AT1G71170,AT1G31230,AT1G56430,AT1G12610,AT1G65860,AT5G10240,AT5G14200,AT5G16370,AT5G65010,AT5G23010,AT5G23020,AT5G17330,AT3G19710,AT3G48520,AT3G58990,AT3G02020,AT3G22740,AT2G43100,AT4G12030,AT4G08040,AT4G13040,AT4G34180"
"GO:BP","GO:0044281","small molecule metabolic process",1602,104,29,1.03297787063856e-08,0.278846153846154,0.0181023720349563,"AT1G08630,AT1G71170,AT1G31230,AT1G56430,AT1G16410,AT1G12610,AT1G65860,AT1G62560,AT5G07690,AT5G10240,AT5G14200,AT5G15210,AT5G16370,AT5G65010,AT5G61420,AT5G23010,AT5G23020,AT5G17330,AT3G19710,AT3G48520,AT3G58990,AT3G02020,AT3G22740,AT2G43100,AT4G12030,AT4G13770,AT4G08040,AT4G13040,AT4G34180"
