"","input_number","input","target_number","target","name","description","namespace"
"1",1,"AT1G68470","1.1","AT1G68470","AT1G68470","Exostosin family protein [Source:NCBI gene (formerly Entrezgene);Acc:843176]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"2",2,"AT1G08630","2.1","AT1G08630","THA1","threonine aldolase 1 [Source:NCBI gene (formerly Entrezgene);Acc:837385]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"3",3,"AT1G25400","3.1","AT1G25400","AT1G25400","transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:839126]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"4",4,"AT1G71170","4.1","AT1G71170","AT1G71170","6-phosphogluconate dehydrogenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843457]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"5",5,"AT1G62422","5.1","AT1G62422","AT1G62422","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"6",6,"AT1G63740","6.1","AT1G63740","AT1G63740","Disease resistance protein (TIR-NBS-LRR class) family [Source:NCBI gene (formerly Entrezgene);Acc:842678]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"7",7,"AT1G69490","7.1","AT1G69490","NAP","NAC-like, activated by AP3/PI [Source:NCBI gene (formerly Entrezgene);Acc:843282]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"8",8,"AT1G52155","8.1","AT1G52155","AT1G52155","transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:841646]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"9",9,"AT1G67980","9.1","AT1G67980","CCOAMT","caffeoyl-CoA 3-O-methyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:843126]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"10",10,"AT1G03850","10.1","AT1G03850","GRXS13","Glutaredoxin family protein [Source:NCBI gene (formerly Entrezgene);Acc:839392]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"11",11,"AT1G31230","11.1","AT1G31230","AK-HSDH I","aspartate kinase-homoserine dehydrogenase i [Source:NCBI gene (formerly Entrezgene);Acc:840011]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"12",12,"AT1G56430","12.1","AT1G56430","NAS4","nicotianamine synthase 4 [Source:NCBI gene (formerly Entrezgene);Acc:842096]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"13",13,"AT1G57990","13.1","AT1G57990","PUP18","purine permease 18 [Source:NCBI gene (formerly Entrezgene);Acc:842166]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"14",14,"AT1G53040","14.1","AT1G53040","AT1G53040","tRNA (met) cytidine acetyltransferase, putative (DUF616) [Source:NCBI gene (formerly Entrezgene);Acc:841738]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"15",15,"AT1G53035","15.1","AT1G53035","AT1G53035","transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:841737]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"16",16,"AT1G16410","16.1","AT1G16410","CYP79F1","cytochrome p450 79f1 [Source:NCBI gene (formerly Entrezgene);Acc:838211]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"17",17,"AT1G12610","17.1","AT1G12610","DDF1","Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837817]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
