"","input_number","input","target_number","target","name","description","namespace"
"1",1,"AT1G78930","1.1","AT1G78930","AT1G78930","Mitochondrial transcription termination factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:844232]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"2",2,"AT1G56250","2.1","AT1G56250","PP2-B14","phloem protein 2-B14 [Source:NCBI gene (formerly Entrezgene);Acc:842078]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"3",3,"AT1G69810","3.1","AT1G69810","WRKY36","WRKY DNA-binding protein 36 [Source:NCBI gene (formerly Entrezgene);Acc:843317]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"4",4,"AT1G72450","4.1","AT1G72450","JAZ6","jasmonate-zim-domain protein 6 [Source:NCBI gene (formerly Entrezgene);Acc:843577]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"5",5,"AT1G73360","5.1","AT1G73360","HDG11","homeodomain GLABROUS 11 [Source:NCBI gene (formerly Entrezgene);Acc:843671]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"6",6,"AT1G75310","6.1","AT1G75310","AUL1","auxin-like 1 protein [Source:NCBI gene (formerly Entrezgene);Acc:843868]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"7",7,"AT1G24575","7.1","AT1G24575","AT1G24575","DEAD-box ATP-dependent RNA helicase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839072]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"8",8,"AT1G19715","8.1","AT1G19715","AT1G19715","Mannose-binding lectin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838560]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"9",9,"AT1G69430","9.1","AT1G69430","AT1G69430","Son of sevenless protein [Source:NCBI gene (formerly Entrezgene);Acc:843275]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"10",10,"AT1G53340","10.1","AT1G53340","AT1G53340","Cysteine/Histidine-rich C1 domain family protein [Source:NCBI gene (formerly Entrezgene);Acc:841769]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"11",11,"AT1G56540","11.1","AT1G56540","AT1G56540","Disease resistance protein (TIR-NBS-LRR class) family [Source:NCBI gene (formerly Entrezgene);Acc:842107]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"12",12,"AT1G10120","12.1","AT1G10120","AT1G10120","basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837549]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"13",13,"AT1G09960","13.1","AT1G09960","SUT4","sucrose transporter 4 [Source:NCBI gene (formerly Entrezgene);Acc:837530]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"14",14,"AT1G63360","14.1","AT1G63360","AT1G63360","Disease resistance protein (CC-NBS-LRR class) family [Source:NCBI gene (formerly Entrezgene);Acc:842642]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"15",15,"AT1G69770","15.1","AT1G69770","CMT3","chromomethylase 3 [Source:NCBI gene (formerly Entrezgene);Acc:843313]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"16",16,"AT1G51440","16.1","AT1G51440","AT1G51440","alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841569]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"17",17,"AT1G80840","17.1","AT1G80840","WRKY40","WRKY DNA-binding protein 40 [Source:NCBI gene (formerly Entrezgene);Acc:844423]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"18",18,"AT1G59970","18.1","AT1G59970","AT1G59970","Matrixin family protein [Source:NCBI gene (formerly Entrezgene);Acc:842291]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"19",19,"AT1G30640","19.1","AT1G30640","AT1G30640","Protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839944]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"20",20,"AT1G20840","20.1","AT1G20840","TMT1","tonoplast monosaccharide transporter1 [Source:NCBI gene (formerly Entrezgene);Acc:838676]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
